,title,score,review_num,keyword,category,tokenized_keyword
0,디자인 너머(양장본 HardCover),10.0,9,"['혁신', '디자이너', '드로잉', '철학', '피터', '디자인경영']",예술/대중문화,"['철학', '혁신', '드로잉', '경영', '피터', '디자이너', '디자인']"
1,방구석 미술관,9.1,9342,"['미술사', '화가', '미술이야기', '반 고흐', '오르세', '세잔']",예술/대중문화,"['화가', '미술', '이야기', '반', '미술사', '고흐', '세잔', '오르세']"
2,방구석 미술관. 2: 한국,9.0,1603,"['미술사', '미술', '미술이야기', '김환기', '박수근', '반 고흐']",예술/대중문화,"['박수근', '미술', '이야기', '반', '미술사', '김환기', '고흐']"
3,365일 명화 일력(스프링),10.0,9,"['신부', '렘브란트', '반 고흐', '행복', '연말', '월요일']",예술/대중문화,"['렘브란트', '행복', '반', '연말', '신부', '월요일', '고흐']"
4,김락희의 인체 드로잉,9.6,169,"['드로잉', '유튜브', '해부학', '마블', '인체해부학', '입문서']",예술/대중문화,"['드로잉', '입문서', '인체', '유튜브', '해부학', '마블']"
5,기묘한 미술관,9.6,25,"['미술사', '명화', '고야', '작품', '설국', '스토리텔링']",예술/대중문화,"['명화', '설국', '고야', '미술사', '스토리텔링', '작품']"
6,스즈키 바이올린 교본. 1(개정판),9.6,207,"['악보', '크리스마스', '메소드', '변주곡', '바흐', '미뉴에트']",예술/대중문화,"['메소드', '변주곡', '바흐', '크리스마스', '미뉴에트', '악보']"
7,포인트 캐릭터 드로잉 세트(반양장)(전2권),10.0,1,"['인체', '그림', '작가', '가이드', '핵심 포인트', '시크릿']",예술/대중문화,"['가이드', '핵심', '시크릿', '인체', '포인트', '그림', '작가']"
8,가가미 다카히로가 알려주는 손 그리는 법,10.0,12,"['작화', '애니메이터', '원피스', '그리기', '극장판', '자료집']",예술/대중문화,"['극장판', '리기', '그', '원피스', '자료집', '작화', '애니메이터']"
9,"우연히, 웨스 앤더슨(양장본 HardCover)",9.6,33,"['코로나', '영감', '여행 가이드', '여권', '세계 일주', '감독']",예술/대중문화,"['가이드', '일주', '여권', '영감', '여행', '감독', '세계', '코로나']"
10,"음악, 당신에게 무엇입니까(양장본 HardCover)",10.0,3,"['작곡가', '음반', '클래식 음악', '연주자', '아티스트', '바이올리니스트']",예술/대중문화,"['아티스트', '음악', '클래식', '연주자', '바이올리니스트', '음반', '작곡가']"
11,당장 써! Create Now!,8.9,28,"['웹소설', '옥토', '작품', '유튜버', '디즈니', '스토리텔링']",예술/대중문화,"['소설', '튜버', '유', '작품', '옥토', '디즈니', '스토리텔링', '웹']"
12,어쨌거나 밤은 무척 짧을 것이다,10.0,1,"['영화', '영화이론', '입문서', '영화비평', '예술 분야', '미학']",예술/대중문화,"['분야', '영화', '이론', '입문서', '미학', '예술', '비평']"
13,"디자인, 이렇게 하면 되나요?",10.0,13,"['디자이너', '사례', '콘셉트', '실무', '타이포그래피', '배색']",예술/대중문화,"['콘셉트', '실무', '타이포그래피', '디자이너', '배색', '사례']"
14,인간실격 세트(1-2권)(전2권),10.0,9,"['성장', '작가', '원룸', '부정', '치유', '강재']",예술/대중문화,"['성장', '원룸', '치유', '부정', '강재', '작가']"
15,스즈키 바이올린 교본. 2(개정판)(CD1장포함),9.8,108,"['요정', '왈츠', '음반', '메소드', '사장조', '미뉴에트']",예술/대중문화,"['메소드', '왈츠', '요정', '사장조', '음반', '미뉴에트']"
16,내가 사랑한 화가들,9.6,450,"['인생', '미술', '그림', '예술가', '위로', '도슨']",예술/대중문화,"['위로', '인생', '미술', '예술가', '그림', '도슨']"
17,사계절 컬러링북(초록담쟁이의 아름다운 날들),10.0,13,"['컬러링', '작가', '색연필', '그림', '일러스트', '뜨개']",예술/대중문화,"['일러스트', '컬러', '링', '색연필', '그림', '뜨개', '작가']"
18,오늘부터 차근차근 아이패드 드로잉,9.9,20,"['도안', '색연필', '브러시', '에이트', '그라피', '디지털']",예술/대중문화,"['도안', '브러시', '디지털', '그라피', '색연필', '에이트']"
19,듄: 메이킹필름북,0.0,0,"['영화', '디자이너', '감독', '스토리보드', '연인 관계', '배우']",예술/대중문화,"['스토리보드', '연인', '영화', '배우', '감독', '디자이너', '관계']"
20,요시다 세이지 작품집&원근법 테크닉,9.6,5,"['일러스트', '작화', '투시', '그림', '작가', '만화작법']",예술/대중문화,"['일러스트', '투시', '작화', '그림', '만화', '작가', '작법']"
21,세상에서 가장 재미있는 서양미술사. 1: 선사시대부터 르네상스까지(양장본 HardCover),2.5,5,"['역사', '건축', '화가', '예술가', '어린이', '현대 미술']",예술/대중문화,"['어린이', '현대', '화가', '미술', '예술가', '건축', '역사']"
