,title,score,review_num,keyword,category
0,비전공자를 위한 이해할 수 있는 IT 지식,8.5,2555,"['파이썬', '프레임워크', '네트워크', '클라', '자바', '프로그래밍 언어']",컴퓨터/IT
1,혼자 공부하는 파이썬,9.6,294,"['프로그래밍', '딕셔너리', '반 복문', '메소드', '자습서', '리스트']",컴퓨터/IT
2,2022 시나공 총정리 컴퓨터활용능력 1급 필기,8.3,12,"['실전 모의고사', '엑셀 기능', '실습', '핵심 요약', '원서 접수 방법', '답변 데이터']",컴퓨터/IT
3,Do it! 점프 투 파이썬,9.3,156,"['정규 표현식', 'Python', '딕셔너리', '튜플', '리스트', '서드']",컴퓨터/IT
4,2022 빅데이터 분석 기사 실기 필답형+작업형,9.2,3,"['전처리', '내기', '인터프리터', '실습', '내장', '탐색']",컴퓨터/IT
5,"2022 시나공 컴퓨터활용능력 1급 실기 엑셀, 엑세스 2016",10.0,25,"['실전 모의고사', '기출문제', '삼각 함수', '기본 모의고사', '쿼리', '최신']",컴퓨터/IT
6,혼자 공부하는 머신러닝+딥러닝,9.7,52,"['패션', '인공지능', '로지스틱 회귀', '인공 신경망', '딥러닝', '핵심 포인트']",컴퓨터/IT
7,회사에서 바로 통하는 실무 엑셀+파워포인트+워드&한글,9.5,116,"['핵심 기능', '우선순위', '글꼴', '조건부 서식 지정', '스타일 적용', '서식 지정']",컴퓨터/IT
8,전산회계 1급 이론+실기+기출문제(2021)(해커스)(개정판),8.7,149,"['부가가치세 총칙', '원가회계', '단기 합격', '손익계산서', '전표', '빈출']",컴퓨터/IT
9,클린 아키텍처(만들면서 배우는)(위키북스 IT Leaders 시리즈 34),0.0,0,"['매핑', '도메인', '어댑터', '단위 테스트', '빌드', '애플리케이션']",컴퓨터/IT
10,2022 시나공 컴퓨터활용능력 2급 실기 엑셀2016,10.0,7,"['실전 모의고사', '삼각 함수', '기본 모의고사', '시간 함수', '참조 함수', '논리 함수']",컴퓨터/IT
11,Clean Code(클린 코드),9.8,68,"['프로그래밍', '프레임워크', '서드', '인코딩', '개발', '서버']",컴퓨터/IT
12,Do it! HTML+CSS+자바스크립트 웹 표준의 정석,9.9,34,"['웹프로그래밍', '마무리 문제', '시맨틱', '웹사이트', '브라우저', '웹디자인']",컴퓨터/IT
13,전산세무 2급 이론+실기+최신기출(2021)(해커스)(개정판),8.5,105,"['부가가치세 신고', '부가가치세 총칙', '원가회계', '단기 합격', '세액 공제', '종합소득공제']",컴퓨터/IT
14,유튜브 영상 편집을 위한 프리미어 프로,9.8,105,"['유튜브', '레거시', '프레임', '편집', '자막', '동영상']",컴퓨터/IT
15,오늘부터 개발자,10.0,4,"['파이썬', '프레임워크', '프론트엔드', '자바', '스타트업', '면접']",컴퓨터/IT
16,밑바닥부터 시작하는 딥러닝,9.6,202,"['인공지능', '파이썬', '프레임워크', '합성곱', '파이썬 설치', '딥러닝']",컴퓨터/IT
17,2022 시나공 정보처리기사 필기(전2권),10.0,4,[],컴퓨터/IT
18,이것이 취업을 위한 코딩 테스트다 with 파이썬,9.7,60,"['프로그래밍', '면접', '실전 문제', '리디', '다이나믹', '삼성전자']",컴퓨터/IT
19,구글 BERT의 정석,10.0,3,"['보충 자료', '인코더', '연습 문제', '트랜스포머', '스트림', '자연어 처리']",컴퓨터/IT
20,2022 시나공 총정리 컴퓨터활용능력 2급 필기,5.8,3,"['실전 모의고사', '엑셀 기능', '핵심 요약', '실습', '원서 접수 방법', '답변 데이터']",컴퓨터/IT
21,2022 시나공 컴퓨터활용능력 1급 필기,10.0,18,[],컴퓨터/IT
22,파이썬 알고리즘 인터뷰,9.8,80,"['프로그래밍', '윈도우', '알고리즘', '딕셔너리', '연결 리스트', '취업']",컴퓨터/IT
23,모던 자바스크립트 Deep Dive(위키북스 프로그래밍 & 프랙티스 시리즈 26),10.0,33,"['메 서드', '프로토타입', '정규 표현식', '리터럴', '파싱', '스코프']",컴퓨터/IT
24,2022 이기적 컴퓨터활용능력 2급 필기 기본서(전2권),10.0,5,"['데이터 관리', '매크로', '스프레드시트 일반', '기출 변형 문제', '최신 기출문제', '데이터 입력']",컴퓨터/IT
25,2022 시나공 워드프로세서 실기 한글 2020,10.0,4,"['실전 모의고사', '최신 기출문제', '자동 채점 프로그램', '하이퍼링크', '다단 설정', '한자 변환']",컴퓨터/IT
26,실전 카프카 개발부터 운영까지,0.0,0,"['빅데이터', '파이썬', '레지스트리', '엔터', '데이터분석', '이용한']",컴퓨터/IT
27,리팩터링(2판),10.0,38,"['생성자', '알고리즘', '매개변수', '상속', '로직', '리터럴']",컴퓨터/IT
28,머신러닝 디자인 패턴,10.0,5,"['워크플로', '솔루션', '스테이', '데이터 표현', '클래스', '모달']",컴퓨터/IT
29,한 권으로 읽는 컴퓨터 구조와 프로그래밍,9.0,26,"['인코딩', '프로그래밍언어', '마크업', '전자회로', '소프트웨어개발', '리팩토링']",컴퓨터/IT
30,2022 이기적 컴퓨터활용능력 1급 필기 기본서 세트(전3권),10.0,13,"['프로그래밍', '기출문제', '쿼리', '데이터 관리', '매크로', '스프레드시트 일반']",컴퓨터/IT
31,클린 아키텍처: 소프트웨어 구조와 설계의 원칙,9.5,39,"['프레임워크', '플러그인', '컴포넌트', '임베디드', '스레드', '객체 지향 프로그래밍']",컴퓨터/IT
32,퇴근 후 스마트스토어로 투잡하기,9.9,440,"['매출', '부가가치세', '실습', '북마크', '네이버', '세금 신고']",컴퓨터/IT
33,2022 이기적 컴퓨터활용능력 2급 실기 기본서,10.0,7,"['함수 사전', '최신 기출', '기출 변형 문제', '기타 작업', '인쇄 기능', '계산 작업']",컴퓨터/IT
34,네이버 블로그로 돈 벌기,10.0,13,"['포스팅', '대행', '수익 창출', '블로거', '실습', '애드']",컴퓨터/IT
35,실무에 바로 쓰는 일잘러의 보고서 작성법,9.7,26,"['문서 작성', '미션', '프로세서', '보고서', '제안서', '회사']",컴퓨터/IT
36,컨테이너 인프라 환경 구축을 위한 쿠버네티스/도커,9.7,56,"['젠킨스', '플러그인', '대시보드', '모니터링', '라파', '복잡도']",컴퓨터/IT
37,전산세무 1급 법인세 이론+실기+최신기출(2021)(해커스)(개정판),10.0,14,"['기출문제', '단기 합격', '부가가치세', '빈출', '감가상각비', '소득 처분']",컴퓨터/IT
38,2022 수제비 빅데이터분석기사 실기(필답형+작업형),7.1,10,"['기출문제', '모형', '전처리', '기본 문법', '선견지명', '지피지기']",컴퓨터/IT
39,소프트웨어 아키텍처 101,10.0,7,"['커리어', '토폴로지', '레지스트리', '컴포넌트', '거버넌스', '퀀텀']",컴퓨터/IT
40,된다! 네이버 블로그&포스트(개정판 4판)(된다! 시리즈),9.8,14,"['위젯', '인터넷마케팅', '크리에이터', 'SNS마케팅', '워드프레스', '투잡']",컴퓨터/IT
41,직장인을 위한 실무 엑셀(개정판),9.3,284,"['피벗 테이블', '데이터 분석', '비즈니스업무', '데이터 관리', '기본 함수', '서식 지정']",컴퓨터/IT
42,핸즈온 머신러닝(2판),9.7,70,"['파이썬', '신경망', '시맨틱', '자연어처리', '임베디드', '패턴인식']",컴퓨터/IT
43,전산회계 2급 이론+실기+기출문제(2021)(해커스)(전2권),9.9,24,"['단기 합격', '손익계산서', '빈출', '전표', '재무제표', '계정']",컴퓨터/IT
44,카카오톡 이모티콘 만들기(내가 만들어 누구나 사용하는),9.6,38,"['포토샵', '스케치', '아이패드', '실습', '마켓', '태블릿']",컴퓨터/IT
45,2022 이기적 빅데이터분석기사 필기 기본서,9.9,38,"['스터디', '카이제곱', '전처리', '무료 동영상', '모형', '탐색']",컴퓨터/IT
46,SQL 자격검정 실전문제,9.5,146,"['데이터 모델링', '데이터 모델', '고급 활용', '국가 공인', '튜닝', '개발자']",컴퓨터/IT
47,포토샵&일러스트레이터 CC 2021(맛있는 디자인),9.5,46,"['레이어 마스크', '편집', '스와치', '선택 도구', '펜 도구', '패널']",컴퓨터/IT
48,2022 이기적 정보처리기사 필기+실기 환상의 콤비 세트(전2권),10.0,1,"['프로그래밍', '예상 문제', '포인터', '기출 복원 문제', '자료 구조', '시스템 보안']",컴퓨터/IT
49,2022 알기사 정보보안기사 산업기사 필기+핵심기출 1200제(전3권),0.0,0,"['유닉스', '암호학', '리눅스', '산업기사', '거버넌스', '네트워크 관리']",컴퓨터/IT
50,밑바닥부터 시작하는 딥러닝. 3,9.7,29,"['프레임워크', '파이썬', '딥러닝', '오버로드', '머신러닝', '미분']",컴퓨터/IT
51,"스토리텔링 우동이즘의 잘 팔리는 웹툰, 웹소설 이야기 만들기",10.0,14,"['유튜브', '블루 오션', '스트리밍', '이야기작가', '로그', '글작가']",컴퓨터/IT
52,3일 만에 끝내는 코딩 통계,10.0,6,"['확률분포', '부트스트랩', '베이즈 정리', '정규분포', '통계학', '중심극한정리']",컴퓨터/IT
53,Do it! 쉽게 배우는 R 데이터 분석,9.6,161,"['빅데이터', '프로그래밍', '신한은행', '월급', '데이터분석', '깃 허브']",컴퓨터/IT
54,파이썬 머신러닝 완벽 가이드(위키북스 데이터 사이언스 시리즈 50),9.9,34,"['인코딩', '필터링', '피처', '뉴스그룹', '클래스', '실습']",컴퓨터/IT
55,리액트를 다루는 기술(개정판),9.6,54,"['서드', '자바스크립트', '라우터', '애플리케이션', '렌더링', '쿼리']",컴퓨터/IT
56,데이터아키텍처 준전문가(DAsP) 한 권으로끝내기,7.1,4,"['합격', '프레임워크', '요구사항', '엔터', '모델링', '전사']",컴퓨터/IT
57,데이터아키텍처 자격검정 실전문제(2013),9.7,28,"['합격', '프로세싱', '모델링', '시험', '애플리케이션', '문항']",컴퓨터/IT
58,밑바닥부터 시작하는 딥러닝. 2,9.7,56,"['인공지능', '파이썬', '자연어 처리', '딥러닝', '시계열', '함수']",컴퓨터/IT
59,혼자 공부하는 C 언어(혼자 공부하는 시리즈),9.6,73,"['컴파일', '연산자', '파일 입출력', '문자열', '차원 배열', '자습서']",컴퓨터/IT
60,된다! 김메주의 유튜브 영상 만들기(개정판 2판)(된다! 시리즈),10.0,9,"['크리에이터', '유튜버', '프리미어', '유튜브크리에이터', '스페셜', '동영상편집']",컴퓨터/IT
61,진짜 하루만에 끝내는 이모티콘,8.9,26,"['작가', '애니', '카카오', '시안', '스티커', '아이패드']",컴퓨터/IT
62,2022 이기적 컴퓨터활용능력 1급 실기 기본서,10.0,6,"['함수 사전', '최신 기출', '기출 변형 문제', '기타 작업', '인쇄 기능', '계산 작업']",컴퓨터/IT
63,가상 면접 사례로 배우는 대규모 시스템 설계 기초(프로그래밍인사이트),9.6,6,"['유튜브', '페이스북', '서버', '생성기', '경력자', '설계안']",컴퓨터/IT
64,맛있는 디자인 프리미어 프로&애프터 이펙트 CC 2021,9.8,29,"['유튜브', '포토샵', '패널', '동영상편집', '어도비', '영상 편집']",컴퓨터/IT
65,된다! 7일 실무 엑셀,9.6,78,"['유튜브', '피벗 테이블', '피벗 차트', '데이터 관리', '함수', '엑셀함수']",컴퓨터/IT
66,Do it! 자료구조와 함께 배우는 알고리즘 입문: 파이썬 편,9.6,18,"['원소', '복잡도', '버블 정렬', '스택', '포인터', '튜플']",컴퓨터/IT
67,빅데이터 커리어 가이드북,10.0,2,"['애널리스트', '프로그래밍', '직무 기술', '클라우드', '마이닝', '머신 러닝']",컴퓨터/IT
68,The Game Graphics: 모델링과 텍스처링. 4,0.0,0,"['에픽', '어쌔신', '아티스트', '페인터', '게임즈', '엘리']",컴퓨터/IT
69,2022 이기적 워드프로세서 실기 기본서(스프링),10.0,4,"['편집 용지', '글자 장식', '파일 저장', '문단 모양', '상공 회의소', '하이퍼링크']",컴퓨터/IT
70,"React.js, 스프링 부트, AWS로 배우는 웹 개발 101(웹 프로페셔널)",10.0,5,"['파이썬', '프레임워크', '프론트엔드', '서블릿', '라우팅', '서드']",컴퓨터/IT
71,미국 주식으로 시작하는 슬기로운 퀀트투자,9.8,18,"['투자', '트레이딩', '파이썬', '가치주', '미국주식', '우량주']",컴퓨터/IT
72,Node.js 교과서(2판),9.3,31,"['리눅스', '쿼리', '라우팅', '우분투', '서버', '노드']",컴퓨터/IT
73,컴퓨터활용능력 1급 필기 최신 문제집(2022)(이기적),10.0,1,"['엑셀', '기출 변형 문제', '액세스', '시행', '과목 스프레드시트 일반', '과목 컴퓨터 일반']",컴퓨터/IT
74,Java의 정석(3판),9.6,96,"['메 서드', '추상 클래스', '생성자', '오버로딩', '스트림', '인 스턴스']",컴퓨터/IT
