,title,score,review_num,keyword,category
0,삐뽀삐뽀 119 이유식(개정판),9.9,37,"['육아법', '고구마', '미음', '토마토', '양배추', '퓌레']",요리
1,메종드율의 맛있는 집밥 이야기,10.0,5,"['샐러드', '카츠', '데리야키', '오이', '클래스', '스키야키']",요리
2,2만원으로 일주일 집밥 만들기,10.0,13,"['스팸', '연근조림', '새송이', '멸치 볶음', '요리 초보', '장국']",요리
3,튼이 이유식(세상 쉽고 맛있는),9.7,152,"['레시피', '소고기', '닭고기', '유아식', '양파', '아이밥상']",요리
4,와인 폴리(매그넘 에디션)(양장본 HardCover),9.7,92,"['맥닐', '술', '아마존', '카렌', '칠레', '남아프리카']",요리
5,백종원이 추천하는 집밥 메뉴(애장판),9.7,97,"['레시피', '만능', '조림', '요리비법', '중국식', '콩나물']",요리
6,아하부장의 맛(양장본 HardCover),10.0,5,"['유튜브 동영상', '태국', '떡볶이', '두부김치', '카르보나라', '양념']",요리
7,바리스타 2급 자격시험 예상문제집(2020)(개정판),8.3,12,"['생두', '자격증 시험', '실기', '특성', '위생', '시행']",요리
8,제과제빵기능사 필기(2022),9.2,35,"['유튜브', '기출문제', '기계', '반죽', '핵심 요약 노트', '제빵']",요리
9,디저트 디자인,10.0,17,"['스콘', '파운드', '쇼콜라', '셰프', '페퍼', '프티']",요리
10,제과제빵기능사 필기끝장(2021)(에듀윌),9.6,32,"['단기 합격', '제과', '적중', '감염병', '식품 위생학', '공정 관리']",요리
11,하루 한 끼 면역 밥상(한 그릇 비우고 면역력 채우는),10.0,14,"['레시피', '데리야키', '스키야키', '영양소', '베이글', '파피']",요리
12,맛있게 쓴 옥주부 레시피 100,7.9,198,"['멸치 볶음', '닭강정', '연근조림', '인스', '포스팅', '크리스토']",요리
13,라임맘의 실패 없는 아이주도 이유식 & 유아식(개정판),9.9,97,"['스무디', '토마토', '완자', '케일', '스틱', '낫토']",요리
14,한 그릇 뚝딱 이유식(개정판),9.6,156,"['레시피', '소고기', '유아식', '미음', '아이밥상', '기죽']",요리
15,이렇게 맛있고 멋진 채식이라면. 3: 사계절이 내 안으로,10.0,13,"['레시피', '샐러드', '파니니', '식생활', '채소 요리', '오크라']",요리
16,별이 빛나는 밤에 하이볼 한잔,10.0,1,"['레시피', '트렌디', '소주', '내방', '러블리', '폴라']",요리
17,1시간에 만드는 일주일 반찬,9.8,84,"['레시피', '멸치 볶음', '콩나물 무침', '집밥', '영자', '일품']",요리
18,디디미니의 초간단 인생맛 고단백 저탄수화물 다이어트 레시피,9.3,677,"['다이어터', '다이어트식', '토스트', '요리책', '비빔면', '조리법']",요리
19,커핑 바이블,10.0,1,"['생두', '브라우닝', '슈가', '이디스', '드라', '프로토콜']",요리
20,아이주도 이유식 유아식 매뉴얼 세트(개정증보판)(스프링)(전2권),9.9,36,"['브로콜리', '토마토', '고구마', '소고기', '머핀', '스프']",요리
21,와인은 어렵지 않아(증보 개정판)(양장본 HardCover),9.8,52,"['밸리', '블라인드', '줄리엣', '화이트 와인', '레드 와인', '오렌지']",요리
22,얀 쿠브레 디저트와 플레이팅(양장본 HardCover),10.0,1,"['파티시에', '프랑수아', '크렘', '머랭', '소르', '막심']",요리
23,한 그릇 뚝딱 유아식,9.4,130,"['레시피', '식판', '이유식', '아이밥상', '허니', '아이음식']",요리
24,후다닥 쌤의 후다닥 간편 요리,10.0,49,"['유튜브', '볶음', '김치', '찌개', '장아찌', '단호박']",요리
25,베이커리 카페 샌드위치,10.0,24,"['베이글', '아바타', '매콤', '페이스트리', '에그', '샐러드']",요리
26,와인이 있는 100가지 장면(양장본 HardCover),9.8,13,"['셰프', '샤토', '미라클', '아이언맨', '샴페인', '해리']",요리
27,반죽부터 다시 시작하는 스콘,9.4,26,"['베이직', '스콘', '레시피', '비결', '플레인', '브레드']",요리
28,김치 수업(노고추 음식공방의),10.0,2,"['레시피', '겨울', '물김치', '집밥', '가을', '가정식']",요리
29,나의 프랑스식 샐러드,9.7,50,"['레시피', '지중해', '그릭', '리코타', '채식', '토마토']",요리
30,-10KG 밀가루 단식,10.0,95,"['다이어트 식단', '단식', '다이어트식', '목표', '마이너스', '디톡스']",요리
31,베이킹은 과학이다,9.6,132,"['베이커리', '반죽', '머랭', '제과제빵', '버터', '가요']",요리
32,매일 만들어 먹고 싶은 식빵 샌드위치 & 토핑 핫도그,9.5,31,"['핫도그', '재료', '아리', '어니언', '소스', '크림치즈']",요리
33,나의 프랑스식 오븐 요리,10.0,26,"['그라탱', '로스트', '프로방스', '홈파티', '구이', '바질']",요리
34,다시의 기술(양장본 HardCover),0.0,2,"['셰프', '일본', '야마토', '말린', '관자', '토마토']",요리
35,위스키는 어렵지 않아(양장본 HardCover),10.0,14,"['베이스', '술', '칵테일', '주조', '스코틀랜드', '아일랜드']",요리
36,아기가 잘 먹는 이유식은 따로 있다(개정판),9.4,86,"['레시피', '고구마', '미음', '유아식', '바나나', '아이밥상']",요리
37,이렇게 맛있고 멋진 채식이라면. 1: 초록 식탁이 내 안으로,0.0,0,"['현미', '자연', '샐러드', '식생활', '채소 요리', '식재료']",요리
