,title,score,review_num,keyword,category
0,트렌드 코리아 2022,9.4,227,"['코로나', '호랑이', '니체', '변화', '팬데믹', '위드']",경제/경영
1,거인의 포트폴리오,9.6,30,"['투자자', '주식', '수익', '투자 전략', '부자', '자산']",경제/경영
2,투자는 디테일에 있다,9.4,9,"['코로나', '초보 투자자', '밸류', '개미', '슈퍼', '기업 분석']",경제/경영
3,NFT 레볼루션,9.3,59,"['커머스', '블록체인', '경영전략', '비즈니스', '경제전망', '부동산']",경제/경영
4,그냥 하지 말라,9.5,78,"['혁신', '비트코인', '빅 데이터', '자본', '데이터 분석', '미래상']",경제/경영
5,주식투자 절대원칙,9.3,63,"['재테크', '수익', '초보 투자자', '부자', '코스피', '원칙']",경제/경영
6,세계미래보고서 2022: 메타 사피엔스가 온다,9.8,53,"['코로나', '기술', '인류', '동거', '밀레니엄', '문명']",경제/경영
7,"개장 전, 아직 켜지지 않은 모니터 앞에서",9.9,24,"['재테크', '트레이더', '초보 투자자', '종목', '주식투자', '매매']",경제/경영
8,부의 체인저. 1,10.0,15,"['주식투자', '코로나', '투자자', '재테크', '증시', '공황']",경제/경영
9,돈의 심리학(양장본 HardCover),9.6,299,"['주식투자', '재테크', '투자자', '파산', '헤지 펀드', '주차']",경제/경영
10,사경인의 친절한 투자 과외,9.4,35,"['주식투자', '주식', '부동산', '수익', '장기 투자', '코스피']",경제/경영
11,종목 선정 나에게 물어봐,9.5,8,"['주식투자', '주식', '코로나', '매매', '차트', '판독']",경제/경영
12,한경무크 한 권으로 마스터하는 메타버스 2022,10.0,8,"['방탄소년단', '아바타', '가상현실', '증시', '증강현실', '인공지능']",경제/경영
13,부자 아빠 가난한 아빠. 1(20주년 특별 기념판)(개정증보판),9.2,5470,"['재테크', '부자되는법', '부동산', '비트코인', '복지 정책', '세금']",경제/경영
14,"돈, 뜨겁게 사랑하고 차갑게 다루어라(코스톨라니 투자총서 1)",9.7,545,"['주식투자', '투자자', '경제전망', '투자전략', '유럽', '증권 시장']",경제/경영
15,다모다란의 투자 전략 바이블(양장본 HardCover),10.0,10,"['주식투자', '역발상', '석학', '현혹', '주식 시장', '일반 투자자']",경제/경영
16,메타버스 새로운 기회,9.8,99,"['재테크', '투자자', '투자', '비즈니스', '투자전략', '산업']",경제/경영
17,돈의 속성(150쇄 기념 에디션),9.2,9215,"['부자', '부자되는법', '종잣돈', '맨손', '경제철학', '주라']",경제/경영
18,월급쟁이 부자로 은퇴하라,9.7,282,"['투자자', '부자되는법', '부동산 투자', '자본주의', '수익', '성공 투자']",경제/경영
19,NFT 사용설명서,10.0,1,"['블록체인', '토큰', '암호', '화폐', '낙찰', '크리스티']",경제/경영
20,마법의 재건축 투자,10.0,4,"['수익', '부동산 투자', '재건축', '부동산 가격', '부동산 시장', '부동산 금융']",경제/경영
21,스마트오피스 레볼루션,10.0,19,"['코로나', '혁신', '기업 문화', '워커', '인재', '피플']",경제/경영
22,부의 추월차선,9.0,4456,"['부자', '부자되는법', '성공법', '재테크', '백만장자', '사업 계획']",경제/경영
23,부의 체인저. 2,10.0,8,"['코로나', '투자자', '투자 전략', '증시', '공황', '제갈량']",경제/경영
24,부동산 트렌드 2022,10.0,6,"['투자전략', '재건축', '거래량', '시장', '재개발', '빌딩']",경제/경영
25,부의 인문학,8.9,1045,"['부자되는법', '경제학자', '분산 투자', '성공 투자', '부의법칙', '자본주의']",경제/경영
26,투자의 본질,9.4,118,"['주식투자', '초보 투자자', '투자전략', '코로나', '주식 시장', '시장 분석']",경제/경영
27,"반도체, 넥스트 시나리오",8.8,6,"['재테크', '인터페이스', '에스', '연구원', '에너지', '스위칭']",경제/경영
28,오늘부터 건물주,10.0,9,"['부동산 투자', '물리치료사', '재테크', '부동산 경매', '월세', '종잣돈']",경제/경영
29,라오어의 미국주식 무한매수법,9.4,51,"['수익', '종목', '주식투자', '주가', '원금', '수법']",경제/경영
30,소수몽키의 한 권으로 끝내는 미국주식,9.6,153,"['수익', '종목', '주식 시장', '매수', '배당주', '매도']",경제/경영
31,대한민국 재건축 재개발 지도,9.7,192,"['건축', '부동산', '청약', '아파트', '대안', '집 마련']",경제/경영
32,10년 동안 적금밖에 모르던 39세 김 과장은 어떻게 1년 만에 부동산 천재가 됐을까?,9.4,383,"['재테크', '부동산투자', '투자 전략', '투자자', '집 마련', '소도시']",경제/경영
33,매매의 기술(박병창의 돈을 부르는),9.1,536,"['주식투자', '주식', '트레이더', '종목', '수익', '매수']",경제/경영
34,누가 한국 경제를 파괴하는가,10.0,2,"['부동산', '카르텔', '부패', '문재인 정부', '방역', '관료']",경제/경영
35,월가의 영웅(전설로 떠나는)(3판)(양장본 HardCover),9.9,45,"['주식투자', '재테크', '종목', '가치 투자', '수익', '장기 투자']",경제/경영
36,그래서 브랜딩이 필요합니다,7.5,4,"['성공', '마케팅', '디렉터', '네이버', '라이프 스타일', '실행']",경제/경영
37,하면 된다! 퀀트 투자(파이어족 강환국의),9.4,33,"['수익', '파이썬', '우량주', '전략', '복리', '밸류']",경제/경영
38,투자는 심리게임이다(코스톨라니 투자총서 2),9.5,192,"['주식투자', '경제전망', '투자전략', '심리학', '증권 시장', '거래량']",경제/경영
39,메타버스,9.4,193,"['경제전망', '미네르바', '인류', '디지털 미디어', '서비스', '미래']",경제/경영
40,2030 축의 전환,8.7,8591,"['코로나', '경제학', '경제전망', '사회학', '지정학', '밀레 니얼 세대']",경제/경영
41,미스터 마켓  2022,7.5,3,"['수익', '초보 투자자', '업종', '종목', '주식 시장', '가치 투자']",경제/경영
42,주린이가 가장 알고 싶은 최다질문 TOP 77(교보 단독 리커버),9.7,672,"['주식투자', '재테크', '초보 투자자', '주식 시장', '주식 투자자', '코스닥']",경제/경영
43,2022 한국이 열광할 세계 트렌드,9.8,17,"['비즈니스', '브뤼셀', '디트로이트', '신사업', '바르샤바', '메타']",경제/경영
44,아파트 청약 이렇게 쉬웠어?,9.7,241,"['집 마련', '기회', '분양', '공급', '양도세', '사회 초년생']",경제/경영
45,2022 피할 수 없는  부채 위기,9.2,6,"['부동산', '경제전망', '애널리스트', '가계 부채', '금융', '한국 경제']",경제/경영
46,돈의 역사는 되풀이된다,9.6,173,"['초보 투자자', '경제', '주식', '금리', '투자가이드', '경제이야기']",경제/경영
47,"나는 1,000만 원으로 아파트 산다",10.0,10,"['재테크', '부동산 투자', '투자 전략', '초보 투자자', '분산 투자', '부동산 가격']",경제/경영
48,실전 공매도,9.5,21,"['주식투자', '수익', '주식 시장', '분석', '매수', '투자법']",경제/경영
49,라이프 트렌드 2022,10.0,16,"['비즈니스', '일상', '노멀', '스토리텔링', '하이브리드', '팬데믹']",경제/경영
50,부의 시나리오(교보 단독 20만 부 기념 리커버 에디션),9.3,2449,"['중앙은행', '공포', '불안', '주식투자', '코로나', '금융 시장']",경제/경영
51,돈되는 온라인 1인창업,10.0,1,"['커머스', '비즈니스', '직장인', '로직', '직구', '대행']",경제/경영
52,이코노미스트 2022 세계대전망,0.0,0,"['코로나', '비즈니스', '위드', '시진핑', '예측', '스트리밍']",경제/경영
53,현명한 투자자(개정판 4판),9.6,362,"['주식투자', '재테크', '투자 전략', '초보 투자자', '분산 투자', '가치 투자']",경제/경영
54,보는 순간 사게 되는 1초 문구,9.1,26,"['마케팅', '소비자', '매출', '언어', '상품', '셀러']",경제/경영
55,거대한 가속,9.0,55,"['투자자', '소비자 행동', '비즈니스 모델', '코로나 바이러스', '프라이버시', '파이낸셜 타임스']",경제/경영
56,존 메이너드 케인스,9.5,18,"['경제학', '경제학자', '철학자', '런던', '학자', '지식인']",경제/경영
57,한경무크 산업대전망 인더스트리 2022,9.8,12,"['커머스', '업종', '투자', '애널리스트', '코로나', '금융']",경제/경영
58,경매 권리분석 이렇게 쉬웠어?,9.5,292,"['투자자', '공부', '권리분석', '물건', '투자 수익', '초보']",경제/경영
59,나는 주식 대신 달러를 산다,8.8,101,"['주식투자', '부동산', '재테크', '장기 투자', '자산관리', '수익']",경제/경영
60,가상화폐 단타의 정석,9.5,46,"['수익', '비트코인', '코인', '트레이딩', '재테크', '차트']",경제/경영
61,돈(보도 섀퍼의),9.7,216,"['주식', '부자되는법', '투자', '부자', '저축', '펀드']",경제/경영
62,나의 첫 주식 교과서(강방천&존리와 함께하는),9.8,95,"['주식투자', '투자 전략', '초보 투자자', '수익', '분산 투자', '가치투자']",경제/경영
63,3시간 공부하고 30년 써먹는 부동산 시장 분석 기법(구만수 박사),8.9,82,"['투자자', '투자', '상승', '하락', '공급', '정책']",경제/경영
64,주식투자 무작정 따라하기(2020)(개정판),9.2,1772,"['초보투자자', '종목', '시장 환경', '수익', '가치 투자', '거래량']",경제/경영
65,나의 첫 메타버스 수업,10.0,22,"['영단어', '기업', '상상', '가상 세계', '플랫폼', '우주']",경제/경영
66,월급쟁이 투자자를 위한 완벽한 실전 투자법,10.0,15,"['주식', '종목', '직장인', '주식투자', '우량주', '주가']",경제/경영
67,제로 투 원(리커버 에디션)(양장본 HardCover),10.0,22,"['성공', '스타트업', '경제학자', '독점', '기업 가치', '창조']",경제/경영
68,"세상 편하게 부자되는 법, ETF",9.4,24,"['주식', '초보 투자자', '수익', '분산 투자', '성공 투자', '장기 투자']",경제/경영
69,당신만 몰랐던 부동산 투자(반양장),9.3,34,"['재테크', '투자자', '투자처', '오피스텔', '분석', '입지']",경제/경영
70,백만장자 시크릿,9.4,121,"['재테크', '부자', '부자되는법', '인생', '마인드', '부의법칙']",경제/경영
71,비트코인 지혜의 족보,10.0,19,"['인문학', '신용장', '한경', '주간지', '호기심', '유틸리티']",경제/경영
72,내가 산 주식은 왜 안 오를까?,10.0,2,"['애널리스트', '투자 전략', '종목', '레벨업', '주가', '바이오']",경제/경영
73,"비트코인 수업, 코린이가 묻고 세력이 답하다",9.1,42,"['재테크', '부자되는법', '블록체인', '코인', '트레이딩', '투자 기법']",경제/경영
