,title,score,review_num,keyword,category
0,오늘부터 수승화강,8.2,1518,"['명상', '에너지 시스템', '감염병', '내장', '루틴', '아랫배']",건강
1,갑상선 치료비책(생기 가득 몸속 비밀),0.0,0,"['임신', '다이어트', '갑상선암', '호르몬', '한방 치료', '이스트']",건강
2,인생을 바꾼 식사의 기적,9.7,12,"['코로나', '다이어트', '다이어트 식단', '현미', '위드', '컨디션']",건강
3,백년허리. 2: 치료편,9.2,295,"['척추', '위생', '디스크', '요추', '윌리엄스', '통증']",건강
4,백년허리. 1: 진단편(개정증보판),8.9,325,"['탈출증', '디스크', '통증', '요통', '좌골 신경통', '요점 정리']",건강
5,백년운동,8.8,1638,"['유산소 운동', '운동법', '어깨 관절', '근력 운동', '무릎 관절', '엘보']",건강
6,어싱,9.6,21,"['스티븐', '미란다', '니콜라스', '게리', '접지', '제임스']",건강
7,맨발로 걸어라,10.0,18,"['코로나', '활성산소', '접지', '건강', '동의보감', '자연치유']",건강
8,백년 목,9.6,136,"['허리 디스크', '목 디스크', '사통', '척추', '탈출증', '거북목']",건강
9,초격차 다이어트(압도적 체지방 감량 비법),10.0,9,"['다이어터', '커리어', '심플', '브런치', '체중감량', '식단']",건강
10,피톨로지 피트니스 영양학,9.4,14,"['다이어트', '영양 섭취', '분당', '건강', '지방산', '소화']",건강
11,오늘 또 쓰러졌습니다,10.0,5,"['실신', '한의학', '의학 서적', '환자', '신경', '간호학']",건강
12,너무 놀라운 작은 뇌세포 이야기,9.9,23,"['베스', '리아', '마이크', '스티븐스', '암살자', '알츠하이머병']",건강
13,태극선법,10.0,14,"['활성산소', '선법', '태극', '수련', '단전호흡', '주천']",건강
14,이명이 사라지는 순간,8.1,17,"['활성산소', '청각', '신경전달물질', '독소', '염증', '식사법']",건강
15,환자 혁명,9.3,272,"['유튜브', '영양', '건강법', '현대 의학', '휘트니', '메르스']",건강
16,밤의 숨소리,10.0,23,"['사랑', '청춘', '조루', '페티시', '삽입', '피임']",건강
17,이기는 몸,9.5,100,"['활성산소', '건강상식', '미시', '청정기', '질병', '노화']",건강
18,다이어트 불변의 법칙(재개정판),10.0,3,"['모노', '니어링', '진화과정', '헬렌', '비만', '봄여름가을겨울']",건강
19,근육운동가이드(New)(개정판 3판),9.7,78,"['웨이트 트레이닝', '게인', '헬스', '보디빌딩', '피어슨', '페인']",건강
20,이왕재 교수의 비타민C 이야기,10.0,32,"['생명', '파수', '혈관 질환', '복용', '건강 문제', '스트레스']",건강
21,음식이 나다(개정판),9.8,13,"['건강 기능 식품', '유산소', '체지방', '혈관', '저탄', '음용수']",건강
22,사라진 암,10.0,6,"['음식', '현미', '굿바이', '자연 치유', '채식', '마음 치유']",건강
23,허리 좀 펴고 삽시다,10.0,16,"['오카', '와타나베', '가네', '고지', '골반', '허벅지']",건강
24,3분만 바라보면 눈이 좋아진다,9.1,1005,"['시력', '눈건강', '노안', '아야코', '패치', '노벨']",건강
25,강경원의 백 투 베이직(반양장),9.4,31,"['유튜브', '프레스', '건강', '크런치', '식단', '로우']",건강
26,"나는 101세, 현역 의사입니다",9.4,63,"['활성산소', '트랜스지방', '대처법', '스마트폰', '관리법', '식사법']",건강
27,필라테스 아나토미(개정판 2판),10.0,1,"['물리치료사', '척추', '운동 프로그램', '매트', '동작', '수련자']",건강
28,임산부 운동(개정판 2판),10.0,1,"['유아', '산모', '모유 수유', '영향', '산전', '임신 초기']",건강
29,필라테스 바이블(조셉 필라테스의),10.0,28,"['마음', '로빈스', '컨트롤', '몸', '트위스트', '균형']",건강
30,어느 채식의사의 고백,9.7,79,"['녹말', '채식주의', '고백록', '자연 치유', '단백질', '채식주의자']",건강
31,열방약국 유방암 상담소,0.0,0,"['활성산소', '항암', '식단', '암세포', '요오드', '오메가']",건강
32,최강의 단식,10.0,3,"['음식', '방탄', '허핑턴', '프리', '월스트리트', '건강']",건강
33,힐링 코드(개정증보판),8.9,36,"['커리어', '치유', '트라우마', '건강상식', '범주', '믿음']",건강
34,의식 혁명,9.1,65,"['명상', '스포츠', '운동학', '동역학', '위력', '진실']",건강
35,의사들도 모르는 기적의 간 청소,9.7,31,"['담석', '담낭', '아유르베다', '디톡스', '모세', '히포크라테스']",건강
