,title,score,review_num,keyword,category
0,우리는 다 이겼습니다(김양재 목사의 큐티강해 요한계시록 3),0.0,0,"['하나님', '교회', '코로나', '성도', '사탄', '승리']",역사/문화
1,깨어진 그릇,10.0,5,"['교회', '하나님', '선교사', '간증', '외과의사', '목사']",역사/문화
2,하나님의 인도하심을 구하라,10.0,6,"['성경', '교회', '그리스도인', '예수', '목자', '순종']",역사/문화
3,페이지 처치. 2: 쓰러진 김에 엎드려 하나님을 만났다,10.0,7,"['그리스도인', '묵상', '위로', '기도 제목', '은혜', '성령 충만']",역사/문화
4,예배와 설교핸드북(2022년도 교회력에 따른)(양장본 HardCover),0.0,0,"['목회', '주해', '자료', '절기', '대림절', '요나단']",역사/문화
5,성경 에센스,10.0,14,"['통독', '성도', '신명기', '로마서', '요한복음', '창세기']",역사/문화
6,원복,7.5,2,"['영성', '예술가', '종교', '크레', '에로스', '패러다임']",역사/문화
7,5가지 사랑의 언어(개정증보판 3판)(반양장),9.6,182,"['부부', '상담', '일본어', '신앙생활', '인도자', '사역']",역사/문화
8,"안심하라, 하나님의 타이밍은 완벽하다(교회친구다모여 첫 번째 북 시리즈)",9.8,6,"['위로', '응원', '영혼', '사역', '예수', '소울']",역사/문화
9,햇살콩 예나왕 365(스프링),10.0,2,"['하나님', '말씀', '예수', '동행', '하루', '자리']",역사/문화
10,예수는 없다(전면개정판),9.8,18,"['성경', '율법주의', '한국 기독교', '기독교 역사', '교리', '성막']",역사/문화
11,"주여, 우리에게 오소서(양장본 HardCover)",0.0,0,"['기도', '성탄', '대림절', '대림', '그리스도교', '절기']",역사/문화
12,기다림의 의미,10.0,1,"['아브라함', '선지자', '성서학', '오순절', '신학생', '평신도']",역사/문화
13,"팀 켈러, 결혼을 말하다",9.5,234,"['로맨스', '성경', '기독교결혼', '하나님 나라', '대형 교회', '캐시']",역사/문화
14,수수께끼 같던 영혼몸의 비밀이 풀린다,10.0,1,"['그리스도인', '구원', '하나님 나라', '거듭남', '복음', '고린도 후서']",역사/문화
15,하나님의 때,9.6,228,"['위로', '캘리그라피', '묵상', '부부', '기도', '복음']",역사/문화
16,하늘양식(2022 가정예배서),10.0,1,"['묵상', '교문', '성령 충만', '목회', '예식', '한가위']",역사/문화
17,책 읽는 삶,10.0,32,"['플라톤', '독서', '성육신', '나니아', '단테', '고서']",역사/문화
18,매일 기도(양장본 HardCover),9.9,34,"['위로', '다이어리', '묵상', '인생', '기도문', '평안']",역사/문화
19,영혼의 밤을 지날 때,0.0,0,"['우울증', '교회', '윈터', '스펄전', '마르틴 루터', '테레사']",역사/문화
20,대림절 묵상집(월터 브루그만과 함께하는),10.0,2,"['하나님', '경배', '성탄절', '연애편지', '광야', '무늬']",역사/문화
21,일과 영성(팀 켈러의),9.6,133,"['하나님', '성도', '신앙생활', '복음', '리디', '예수 그리스도']",역사/문화
22,내 구주 예수(마틴 로이드 존스의),0.0,0,"['그리스도인', '성육신', '거듭남', '복음', '찬양', '마리아']",역사/문화
23,카이로스: 하나님의 시공간,9.7,33,"['성경', '크로노스', '창조주 하나님', '원리', '고린도 전서', '임재']",역사/문화
24,메타버스 교회학교,9.1,12,"['성경', '하나님', '코로나', '사역', '문해력', '주일 학교']",역사/문화
