,title,score,review_num,keyword,category
0,2022 혼잡(JOB) 농협논술 농협상식,9.7,9,"['기출문제', '농업', '농촌', '금융 산업', '상식', '식량 안보']",취업/수험서
1,2022 해커스 공인중개사 1차 기본서 부동산학개론,0.0,0,"['감정', '수익', '가격', '공시', '증권', '거래량']",취업/수험서
2,2021 단기 합격 해커스공기업 NCS 직업기초능력평가+직무수행능력평가 통합 기본서,9.4,37,"['모의고사', '공략', '기출', '압축', '빈출', '유형']",취업/수험서
3,2022 해커스공무원 신민숙 국어 문학·비문학 합격생 필기노트,10.0,38,"['고전', '애정 소설', '현대 소설', '독해 비법', '압축 정리', '풍자 소설']",취업/수험서
4,2022 커넥츠 공단기 써니 행정법총론 기출문제집 세트(전2권),9.8,59,"['행정심판', '행정구제', '행정소송', '소송', '행정조사', '공법행위']",취업/수험서
5,2021 해커스 신용분석사 1부 이론+적중문제+모의고사,8.6,4,"['회계 기준', '단기 합격', '매출채권', '자산', '재무', '성적 분석 서비스']",취업/수험서
6,2022 해커스공무원 단원별 기출문제집 한국사 세트(전3권),9.5,10,"['조선 후기', '조선 전기', '서울시', '직렬', '완벽 분석', '현대']",취업/수험서
7,2022 선재국어 한 권으로 정리하는 마무리(9판),9.8,6,"['고전', '희곡', '한자', '문법', '공무원 시험', '암기 노트']",취업/수험서
8,2022 전한길 한국사 합격생 필기노트,9.7,9,"['교과서', '조선', '경제', '국사편찬위원회', '포스트잇', '공무원 시험']",취업/수험서
9,2021 해커스 신용분석사 2부 이론+적중문제+모의고사,8.1,4,"['단기 합격', '현금 흐름', '재무', '종합', '레버리지', '성적 분석 서비스']",취업/수험서
10,2022 해커스공무원 이중석 맵핑 한국사 올인원 블랭크노트(개정판)(이중석 블랭크노트 시리즈 1),10.0,29,"['남북국 시대', '신라', '교육 정책', '대한 제국', '삼국 시대', '대외 관계']",취업/수험서
11,2021 해커스 투자자산운용사 최종핵심정리문제집,9.4,32,"['투자 전략', '투자 분석', '단기 합격', '거시경제', '한국 금융 투자 협회 규정', '산업 분석']",취업/수험서
12,2022 전한길 한국사 3.0 기출문제집(전2권),10.0,24,"['조선', '대한민국', '남북국 시대', '성립', '경제 정책', '발달']",취업/수험서
13,2022 해커스공무원 단원별 기출문제집 국어 세트(전4권),9.5,6,"['군무원 시험', '고유어', '문학 이론', '고전 문학사', '근대 국어', '한자어']",취업/수험서
14,NH농협 계열사 필기전형(직무능력평가 + 직무상식평가),0.0,0,"['실전 모의고사', '면접', '모의고사 수록', '정보 능력', '자원 관리 능력', '수리 능력']",취업/수험서
15,2022 문동균 한국사 핵심기출지문총정리,10.0,2,"['통일 신라', '신라 하대', '동학 농민 운동', '철종', '남북 교류', '남북 협상']",취업/수험서
16,2022 전한길 한국사 연표 사료 노트(스프링),9.7,26,"['조선', '필기 노트', '대원군', '박정희', '공무원 합격', '계리']",취업/수험서
17,2021 해커스 펀드투자권유자문인력 최종핵심정리문제집(개정판),10.0,3,"['단기 합격', '영업', '법규', '리스크', '성적 분석 서비스', '보호법']",취업/수험서
18,"2022 써니 행정법총론 SOS(Summary Of Sunny, 써니 요약집)",10.0,10,"['행정 정보 공개', '행정 절차', '행정 행위', '행정 질서벌', '행정구제', '손실 보상 청구']",취업/수험서
19,2021 투자자산운용사 실제유형 모의고사 4회분 PASSCODE ver 5.0(개정판 7판),9.3,4,"['문항', '특별 부록', '퀴즈', '기출 분석', '개수', '회차']",취업/수험서
20,2022 해커스공무원 신민숙 국어 어법 합격생 필기노트(개정판),10.0,36,"['표준 발음법', '한글 맞춤법', '음운', '표준 국어 대사전', '압축 정리', '고대 국어']",취업/수험서
21,2021 해커스 AFPK 실전모의고사,10.0,3,"['부동산', '설계', '단기 합격', '모듈', '재무', '위험 관리']",취업/수험서
22,2022 해커스공무원 이중석 맵핑 한국사 기출 OX 블랭크노트,10.0,7,"['조선 전기', '통일 신라', '대외 관계', '노태우', '발해', '내정']",취업/수험서
23,2021 해커스 NCS 농협은행 봉투모의고사 6급(5급 대비 가능),10.0,14,"['실전 모의고사', '필기', '직무 능력 평가', '채용', '직무 능력', '성적 분석 서비스']",취업/수험서
24,사회복지사 1급 기출문제집(2022),9.9,43,"['합격', '과락', '실천론', '지역 사회 복지', '모바일', '과거 기출문제']",취업/수험서
25,매1N 에듀윌 공기업 매일 1회씩 꺼내 푸는 NCS,10.0,93,"['나눗셈', '회독', '스터디', '필기', '모바일', '고난도']",취업/수험서
