,title,score,review_num,keyword,category
0,그래머 게이트웨이 베이직: 초보를 위한 기초 영문법(Grammar Gateway Basic)(해커스)(증보판),9.6,191,"['완료 시제', '과거 시제', '미래 시제', '진행 시제', '일반 동사', '동사 원형']",외국어
1,시원스쿨 기초 영어법(개정판),9.1,80,"['기본 동사', '커피', '조동사', '동사 과거', '동사 의문문', '규칙 동사']",외국어
2,스타트 잉글리시(EBS 방송교재 2021년 12월,10.0,3,[],외국어
3,영어 필사 100일의 기적,10.0,2,"['감정', '루틴', '원어민', '힐링', '무료', '하루']",외국어
4,왕초보 영어회화 10분의 기적: 기초패턴으로 말하기(해커스톡),9.6,222,"['스피킹', '기초영어회화', '모바일', '영어표현', '문장', '미국인']",외국어
5,EEA: English for Everyday Activities(한글판)(개정판 3판),9.7,141,"['스터디', '영어학습법', '그림', '영어 생활', '혼공', '영어 표현']",외국어
6,영어회화 10분의 기적: 패턴으로 말하기(해커스톡),9.2,182,"['스피킹', '네이티브', '영어학습법', '기초영어', '문장', '영어공부법']",외국어
7,해커스 일본어 첫걸음: 기초20일 독학 완성!,10.0,20,"['히라가나', '가타카나', '문자표', '노트', '실력 확인', '연습 문제 정답']",외국어
8,권주현의 진짜 영국 영어(EBS 방송교재 2021년 12월),10.0,2,[],외국어
9,영어회화 10분의 기적: 미국에서 당장 써먹는 영어(해커스톡),9.9,35,"['스피킹', '다이어트', '라이프', '브로드웨이', '환불', '맛집']",외국어
10,영어 회화의 결정적 단어들,9.4,174,"['영어학습', '영단어', '스피킹', '스마트폰', '내부', '영어공부']",외국어
11,여행영어 10분의 기적(해커스톡),9.4,81,"['스피킹', '와이파이', '입국 심사', '문의', '체크인', '탑승수속']",외국어
12,영어회화 10분의 기적: 아는 단어로 말하기(해커스톡),9.8,32,"['스피킹', '멘붕', '만회', '알람', '승진', '존재감']",외국어
13,해커스 구문독해 100: 100개 필수구문으로 영어 직독직해(해석이 쉬워지는),9.6,120,"['시제', '분사', '형용사', '부정사', '목적격', '명사']",외국어
14,영어회화 10분의 기적: 유명인처럼 말하기(해커스톡),9.5,56,"['스피킹', '게이츠', '기초영어회화', '영어표현', '모바일', '제프 베조스']",외국어
15,영어회화 10분의 기적 케바케 골라 말하기(해커스톡),9.8,13,"['스피킹', '다이어트', '케이스', '영어회화', '바이', '원어민']",외국어
16,그래머 게이트웨이 인터미디엇: 영어가 쉬워지는 기초 영문법 (Grammar Gateway Intermediate)(해커스),9.3,179,"['부사', '현재 시제', '완료 시제', '과거 시제', '진행 시제', '동사 원형']",외국어
17,쉬운 단어로 1분 영어 말하기,9.7,70,"['디테일', '이용', '문장 구조', '전치사', '접속사', '원어민']",외국어
18,이기동 영어 구동사 연구(스페셜 에디션)(불변사를 철저하게 분석하여 쓴)(3판),9.7,68,"['동사', '한국어', '스터디', '전치사', '연세대', '합성']",외국어
19,예의 바른 영어 표현(구슬쌤의),9.8,94,"['유튜브', '칭찬', '배려', '영어회화', '미드', '표현']",외국어
20,세진 쌤의 바로 영어,10.0,49,"['유튜브', '기본 개념', '전치사', '한국어 표현', '구동', '영작']",외국어
21,JLPT N3 한 권으로 합격(해커스일본어),9.7,43,"['실전 모의고사', '스트리밍', '문형', '필수 문법', '모바일', '암 기장']",외국어
22,해커스 JLPT 일본어능력시험 실전모의고사 문제집 N1,10.0,4,"['정답', '합격', '언어 지식', '답안지', '문형', '회차']",외국어
23,영어 전치사 연구(4판),9.8,68,"['동사', '낱말', '관용어', '쓰임', '도식', '구절']",외국어
24,영어회화 핵심패턴 233,9.6,242,"['영어학습', '중학교', '네이티브', '팥빙수', '해요', '생각']",외국어
25,비즈니스 영어 실수 고침 사전(Fixed! 틀리고도 몰랐을),10.0,5,"['스피킹', '두산', '그래머', '코칭', '리뷰', '김형준']",외국어
26,초등영문법 3800제. 1,9.7,149,"['동사', '중학', '초등영어', '명사', '인칭 주어', '지시 대명사']",외국어
27,입이 터질 수밖에 없는 영어회화,10.0,8,"['스피킹', '명사', '유튜브 동영상', '카카오톡', '핵심 패턴', '리스닝']",외국어
28,보카바이블 4.0 세트(전2권),9.7,419,"['기본 동사', '어근', '전치사', '접두어', '테마', '명사']",외국어
29,영어는 단어다,10.0,1,"['비즈니스', '신문', '사람', '다행', '미국인', '잡지']",외국어
30,JLPT(일본어능력시험) 한권으로 끝내기 N1(개정판),10.0,17,"['체크', '청해', '스피드', '문자', '확인 문제', '출제']",외국어
31,2021 JLPT(일본어능력시험) 한권으로 끝내기 N3(개정판),10.0,1,"['체크', '기출 어휘', '청해', '스피드', '별책', '확인 문제']",외국어
