,title,score,review_num,keyword,category
0,EBS 윤혜정의 나비효과 입문편(2022),9.7,466,"['정답', '고전 시가', '소설 문학', '지문', '스마트폰', '시 문학']",중/고등 참고서
1,예비 매3비 매일 지문 3개씩 푸는 비문학 독서 기출(2021)(7판),9.9,75,"['어휘력', '전국연합 학력 평가', '인사이트', '수능 기출', '독해력 향상', '어휘집']",중/고등 참고서
2,EBS 강의노트 수능개념 주혜연의 NEW 해석공식 기출구문(2022)(2023 수능대비),0.0,0,[],중/고등 참고서
3,개념원리 고등 수학(상)(2022)(개정증보판),9.7,436,"['방정식', '다항식', '부등식', '나머지 정리', '인수 분해', '복소수']",중/고등 참고서
4,쎈 고등 수학(상)(2022),9.6,31,"['내신', '수능', '기출 문제', '방정식', '다항식', '나머지 정리']",중/고등 참고서
5,예비 매3문 매일 지문 3개씩 푸는 문학 기출(개정판 6판),9.7,50,"['현대시', '전국연합 학력 평가', '고전 시가', '수능 기출 문제', '현대', '실제 수능 시험']",중/고등 참고서
6,EBS 50일 고등 수학(상)(2022),9.7,260,"['교과서', '중학교', '초등', '다항식', '부등식', '복소수']",중/고등 참고서
7,Word Master 수능 2000,9.7,480,"['동사', '필수', '완전', '핵심 단어', '단어 학습', '기본 단어']",중/고등 참고서
8,EBS 강의노트 수능개념 정승익의 개념잡은 대박노트 All in One(2022)(2023 수능대비),0.0,0,[],중/고등 참고서
9,쎈 중등 수학 2-1(2022),9.9,40,"['유리수', '그래프', '일차 방정식', '차 함수', '연립', '차 부등식']",중/고등 참고서
10,EBS 고등 예비과정 통합 과학(2022),9.6,154,"['지구 시스템', '재생 에너지', '교과서 반영', '화학 변화', '역학', '상호 작용']",중/고등 참고서
11,천일문 기본 Basic 1001 Sentences,10.0,16,"['내신', '분사 구문', '주요 구문', '구문 분석', '중요 구문', '원형 부정사']",중/고등 참고서
12,EBS 50일고등 수학(하)(2022),9.7,217,"['교과서', '중학교', '초등', '다항식', '도형', '방정식']",중/고등 참고서
13,개념원리 RPM 알피엠 고등 수학(상)(2022)(개정증보판),9.7,361,"['방정식', '다항식', '유형', '차 부등식', '나머지 정리', '연립']",중/고등 참고서
14,쎈 중등 수학 1-1(2022),9.9,45,"['유리수', '소인수 분해', '최소공배수', '최대공약수', '차 방정식', '학교 시험 기출 문제']",중/고등 참고서
15,능률 VOCA 어원편,9.9,19,"['클래스', '어근', '접미사', '파생어', '접사', '형용사']",중/고등 참고서
16,EBS 매쓰 디렉터의 고1 수학 개념 끝장내기(2022),10.0,4,"['방정식', '유리함수', '다항식', '부등식', '무리 함수', '나머지 정리']",중/고등 참고서
17,EBS 강의노트 수능개념 큰별쌤의 별별 한국사(2022)(2023 수능대비),0.0,0,[],중/고등 참고서
18,자이스토리 영어 독해 기본(2022),10.0,5,"['단어장', '자이', '킬러 문제', '특강', '어휘', '빈칸']",중/고등 참고서
19,개념+유형 기초탄탄 라이트 중등 수학 1-1(2022),10.0,10,[],중/고등 참고서
20,EBS 고등 예비과정 영어(2022),9.7,145,"['요지 추론', '제목 추론', '요약 문 완성', '순서 파악', '조동사', '교과서 반영']",중/고등 참고서
21,EBS 고등 예비과정 국어(2022),9.8,61,"['교과서', '한국 문학', '쓰기', '태도', '문법 요소', '한글 맞춤법']",중/고등 참고서
22,완자 고등 통합과학(2022),10.0,12,"['환경', '지구 시스템', '재생 에너지', '자율 학습서', '화학 변화', '역학']",중/고등 참고서
23,"이하영의 전지적 출제자 시점 수학. 1, 2(2022)(2023 수능대비)",0.0,0,[],중/고등 참고서
24,EBS 강의노트 수능개념 고등 국어 윤혜정의 개념의 나비효과(2021)(2022 수능대비),9.6,353,"['심플', '내신 대비', '독서', '매뉴얼', '지문', '서술자']",중/고등 참고서
25,기본 수학의 정석 수학(상)(개정판 12판)(양장본 HardCover),9.5,412,"['부등식', '연립 방정식', '나머지 정리', '인수 분해', '다항식', '미정 계수']",중/고등 참고서
26,중학영문법 3800제 1학년(2022),9.5,27,"['단어장', '내신 만점', '마더', '영어 예문', '문장 완성', '서술형']",중/고등 참고서
27,EBS 고등 예비과정 통합 사회(2022),9.8,101,"['행복', '인권 보장', '교과서 반영', '헌법', '자연환경', '지속 가능']",중/고등 참고서
28,해커스 보카 어원편 + 미니 암기장&워크북 세트,9.7,90,"['영단어', '수능', '다의어', '기타', '사형', '알라딘']",중/고등 참고서
29,오투 고등 통합과학(2022),10.0,12,"['환경', '지구 시스템', '재생 에너지', '화학 변화', '역학', '상호 작용']",중/고등 참고서
30,EBS 고등 예비과정 수학(2022),9.7,127,"['유리함수', '방정식', '합성함수', '나머지 정리', '역함수', '다항식']",중/고등 참고서
31,매3비 매일 지문 3개씩 푸는 비문학 독서 수능 기출(2021)(2022 수능대비)(개정판 11판),9.8,275,"['학년도 수능 대비', '학년도 수능', '모의 평가', '분석법', '국어 영역', '독해력 향상']",중/고등 참고서
32,100발100중 중등 영어 2-2 기말고사 기출문제집(동아 윤정미)(2021),10.0,17,"['수행평가 완벽 대비', '학교 시험', '교과서 대화 다지기', '교과서 속 핵심 문법', '교과서 속 핵심 어휘', '교과서 속 핵심 본문']",중/고등 참고서
33,쎈 중등 수학 2(하)(2021),9.8,610,"['피타고라스 정리', '삼각형', '평행사변형', '교과서 개념', '닮음', '중학교 수학 학습']",중/고등 참고서
34,라이트 쎈 고등 수학(상)(2021),9.8,104,"['내신', '방정식', '유형 학습', '기본 유형', '다항식', '중단원']",중/고등 참고서
35,마플 시너지 고등 수학(상)(2022),9.8,161,"['수능', '철학', '방정식', '학교 내신', '다항식', '나머지 정리']",중/고등 참고서
36,EBS 고등 예비과정 한국사(2022),9.6,48,"['조선', '일본', '동아시아', '서구', '대한민국 정부 수립', '스마트폰']",중/고등 참고서
37,EBS 강의노트 수능개념 남궁민의 개기일식: 개념편(2022)(2023 수능대비),0.0,0,[],중/고등 참고서
38,개념+유형 기초탄탄 라이트 중등 수학 2-1(2022),10.0,10,[],중/고등 참고서
39,중학영문법 3800제 2학년(2022),9.6,19,"['단어장', '내신 만점', '마더', '영어 예문', '문장 완성', '서술형']",중/고등 참고서
40,오투 중등 과학 2-2(2021),9.9,187,"['해수', '순환', '에너지', '안전', '동물', '특성']",중/고등 참고서
41,EBS 강의노트 수능개념 남궁민의 개기일식: 기출편(2022)(2023 수능대비),10.0,1,[],중/고등 참고서
42,개념원리 RPM 알피엠 중학 수학 2-1(2022),9.7,250,"['유리수', '순환소수', '연립', '일차 방정식', '일차 함수', '차 부등식']",중/고등 참고서
43,쎈 중등 수학 3-1(2022),10.0,10,"['나눗셈', '다항식', '제곱근', '방정식', '곱셈', '인수 분해']",중/고등 참고서
44,"EBS 강의노트 수능개념 영원한 일등급, 영일쌤의 지구과학1(2022)(2023 수능대비)",0.0,0,[],중/고등 참고서
45,개념원리 RPM 알피엠 중학 수학 1-1(2022),9.7,303,"['유리수', '그래프', '소인수 분해', '최소공배수', '최대공약수', '핵심 개념']",중/고등 참고서
46,개념원리 중학 수학 2-1(2022),9.7,221,"['유리수', '순환소수', '일차 함수', '일차 방정식', '연립', '다항식']",중/고등 참고서
47,쎈 고등 수학1(2022)(2판),10.0,2,"['내신', '삼각함수', '로그 함수', '지수 함수', '등비수열', '등차수열']",중/고등 참고서
48,Word Master(워드마스터) 고등 Basic,9.6,139,"['모의고사', '올림포스', '다의어', '숙어', '영단', '실력 다지기']",중/고등 참고서
49,쎈 고등 수학(하)(2022),9.7,17,"['내신', '기출 문제', '유리함수', '순열', '무리 함수', '집합']",중/고등 참고서
50,떠먹는 국어문법(2021)(7판),9.7,46,"['내신', '실전 모의고사', '단원', '음운 변동', '수능 국어', '변천']",중/고등 참고서
51,EBS 강의노트 수능개념 남치열의 '만점으로 수렴하는 미적분'(2022)(2023 수능대비),10.0,1,[],중/고등 참고서
52,개념원리 중학 수학 1-1(2022),9.6,296,"['내신', '유리수', '그래프', '소인수 분해', '최소공배수', '최대공약수']",중/고등 참고서
53,개념원리 고등 수학(하)(2022)(개정증보판),9.7,327,"['교과서', '유리함수', '무리 함수', '집합', '순열', '명제']",중/고등 참고서
54,EBS 강의노트 수능개념 친절한 주원쌤의 디테일 화학1(2022)(2023 수능대비),0.0,0,[],중/고등 참고서
55,"EBS 강의노트 수능개념 하루 30분, 가볍게 시작하는 박소현의 생명과학1(2022)(2023 수능대비)",0.0,0,[],중/고등 참고서
56,개념있는 국어문법(2021)(개정판),9.8,84,"['음운 변동', '담화', '문장 부호', '음운 체계', '표준어', '단어']",중/고등 참고서
57,일품 중등 수학2(상) 546제(2022),9.9,110,"['내신 만점', '부등식', '일차 방정식', '그래프', '개념 학습', '문제 해결']",중/고등 참고서
58,Word Master(워드 마스터) 중등 실력,9.7,249,"['고급 어휘', '파생어', '유의어', '암기력', '교육 과정', '교과서 핵심']",중/고등 참고서
59,오투 중등 과학 2-1(2022),10.0,4,"['식물', '태양계', '전기', '도서', '에너지', '기초']",중/고등 참고서
60,고등 어법끝 Start(개정판),9.8,73,"['명사', '부사', '관계 대명사', '갈무리', '조동사', '전치사']",중/고등 참고서
61,능률보카(Voca) 고교 필수편(능률 Voca 시리즈),9.6,240,"['교과서', '수능 어휘', '중요 어휘', '암기 비법', '숙어', '메모리']",중/고등 참고서
62,Word Master(워드 마스터) 중등 고난도(3판),9.6,200,"['중학교', '유의어', '교육 과정', '파생', '의미 차이', '관련 어휘']",중/고등 참고서
63,중학 매3비 매일 지문 3개씩 훈련하는 비문학 독서 기출,10.0,9,"['수능', '어휘력', '수행평가', '복습', '주간', '예비 중학생']",중/고등 참고서
64,개념+유형 실력향상 파워 중학 수학 2-1(2022),10.0,4,[],중/고등 참고서
65,신 수학의 바이블 고등 수학(상)(2022),9.7,149,"['내신', '연립 방정식', '유형 학습', '다항식', '나머지 정리', '부등식']",중/고등 참고서
66,"EBS 2022년, 내 등급은? 예비 고1(2022)(8절)",10.0,1,"['전국연합 학력 평가', '학력 평가', '배치 고사', '고등 학교', '영어 영역', '국어 영역']",중/고등 참고서
67,자이스토리 고등 수학(상)(2022),10.0,2,"['내신', '학평', '방정식', '부등식', '문항', '나머지 정리']",중/고등 참고서
68,EBS 뉴런 중학 수학1(상)(2022),9.8,307,"['유리수', '중학생', '소인수 분해', '모바일', '정수', '그래프']",중/고등 참고서
69,EBS My Grammar Coach: 기초편,9.7,235,"['사이다', '중학', '그래머', '회로', '시제', '일반 동사']",중/고등 참고서
70,완자 고등 화학1(2022),9.7,255,"['원소', '원자 모형', '분자', '이온 결합', '공유 결합', '반응식']",중/고등 참고서
71,EBS 강의노트 수능개념 3주완성 개념끝판왕 정종영의 수학1(2022)(2023 수능대비),0.0,0,[],중/고등 참고서
72,천일문 입문 Intro 500 Sentences,10.0,7,"['내신', '동사', '구문 독해', '보어', '비교 구문', '분사 구문']",중/고등 참고서
73,기본 수학의 정석 수학(하)(개정판 12판)(양장본 HardCover),9.6,293,"['유리함수', '합성함수', '무리 함수', '다항 함수', '역함수', '그래프']",중/고등 참고서
74,매3문 매일 지문 3개씩 푸는 문학 수능 기출(2022),9.8,117,"['현대시', '모의 평가', '학년도 수능', '국어 영역', '갈래 복합', '중요 작품']",중/고등 참고서
75,고등 국어 윤혜정의 개념의 나비효과(미니과제)(2021)(2022 수능대비)(EBS 강의노트 수능개념),9.8,198,"['정답', '내신 대비', '운문', '작문', '산문', '화법']",중/고등 참고서
76,개념원리 RPM 알피엠 고등 수학(하)(2022) (개정증보판)(개정증보판),9.7,283,"['수능', '유리함수', '유형', '무리 함수', '집합', '필수 예제']",중/고등 참고서
77,EBS 수능특강 고등 수학영역 수학1(2021)(2022 수능대비),9.8,318,"['연계', '삼각함수', '등비수열', '등차수열', '로그 함수', '지수 함수']",중/고등 참고서
78,개념원리 고등 수학1(2022),9.6,357,"['교과서', '삼각함수', '로그 함수', '지수 함수', '등비수열', '등차수열']",중/고등 참고서
79,일품 중등 수학1(상) 450제(2022),9.7,96,"['유리수', '내신 만점', '개념 학습', '문제 해결', '만점 도전', '중단원']",중/고등 참고서
80,EBS 연계 변형특강 중학 국어 신입생 예비과정,9.7,132,"['글쓰기', '중학교', '교과서 반영', '품사', '면담', '토의']",중/고등 참고서
81,Grammar Inside(그래머 인사이드) Level. 1,10.0,5,"['반 동사', '부사', '감각 동사', '문문', '형용사', '기초 영문법']",중/고등 참고서
82,자이스토리 전국연합 모의고사 고1 영어 12회(2022),10.0,2,"['내신', '어휘', '수능 대비', '수능 기출 문제', '학력', '평가']",중/고등 참고서
83,개념+유형 고등 수학(상)(2022),9.7,89,"['내신', '방정식', '다항식', '부등식', '나머지 정리', '인수 분해']",중/고등 참고서
84,마더텅 100% 실전대비 MP3 중학영어듣기 24회 모의고사 1학년(2022),10.0,3,"['단어장', '영국', '서울시', '고난', '녹음', '단어 테스트']",중/고등 참고서
85,라이트 쎈 중등 수학1(상)(2021),9.7,196,"['유리수', '최소공배수', '최대공약수', '차 방정식', '소인수 분해', '그래프']",중/고등 참고서
86,EBS 연계 변형특강 중학 수학 신입생 예비과정,9.7,162,"['유리수', '중학교', '소인수 분해', '평면 도형', '입체 도형', '교과서 반영']",중/고등 참고서
87,디딤돌 국어 고등 문제로 국어문법(2022),10.0,2,"['내신', '실력 테스트', '음운 변동', '한글 맞춤법', '담화', '표준 발음법']",중/고등 참고서
88,EBS 강의노트 수능개념 김철회의 알고리즘 독서(2022)(2023 수능대비),0.0,0,[],중/고등 참고서
89,에이급 수학 중학 수학 1(상)(2020),9.5,116,"['유리수', '중학교', '방정식', '좌표 평면', '그래프', '정수']",중/고등 참고서
90,Word Master(워드 마스터) 중등 기초,9.8,146,"['중학교', '학습 진도표', '관련', '빈출', '고학년', '핵심 어휘']",중/고등 참고서
91,라이트 쎈 중등 수학2(상)(2021),9.8,147,"['유리수', '그래프', '차 함수', '일차 방정식', '차 부등식', '연립']",중/고등 참고서
