,title,score,review_num,keyword,category
0,"답만보는 운전면허 필기시험 1종, 2종 공통(2021)(에듀윌)",9.9,34,"['합격', '문항', '학과 시험', '시간 효율', '빨간색', '초고속']",기술/공학
1,동물보건사: 간호학 기초편,0.0,0,"['간호', '문항', '수의사', '필기 시험', '병원', '자격시험 준비']",기술/공학
2,2022 간호사 국가고시 초단기완성 파이널 핵심요약집(3판),10.0,14,"['아동 간호', '마인드맵', '동안 출제', '실제 출제', '출제 연도', '문제 출제 경향']",기술/공학
3,2022 간호사 국가고시 5일 완성 파이널 모의고사(개정판 4판),10.0,2,"['해설집', '모성 간호학', '정신 간호학', '기본 간호학', '아동 간호학', '지역 사회 간호학']",기술/공학
4,"찐초보 걸음마 전기(30만 구독자 유튜버, 전병칠이 알려주는)",10.0,1,"['차단기', '실용', '용어', '충전기', '인버터', '비유']",기술/공학
5,침묵의 봄,9.0,4634,"['환경 문제', '생태계', '증폭기', '지하수', '사회 운동', '환경운동']",기술/공학
6,2022 영양사 모의고사 핵심 문제집(개정판),10.0,2,"['식품 영양학', '조리 원리', '관계 법규', '미생물학', '식품 위생법', '생화학']",기술/공학
7,2022 유튜버 챕스랜드 소방안전관리자 2·3급 찐정리 핵심이론+기출 150제+해설 수록,10.0,1,"['소방관', '설비', '계획서', '법령', '연습 문제', '도표']",기술/공학
8,지게차운전기능사 필기(2021)(에듀윌 답만보는),10.0,16,"['기출 분석', '작업 안전', '기출 복원 문제', '전기 장치', '실기', '압축']",기술/공학
9,2022 에듀윌 전기기능사 필기 한권끝장 핵심이론편 + 8개년 기출편,10.0,4,"['한국 전기 설비 규정', '자동 채점', '성적 분석', '직류기', '단기간 합격', '신규']",기술/공학
10,2022 지게차운전기능사 필기(기분파),9.5,74,"['국가 직무 능력 표준', '상시', '시험', '핵심 이론', '그동안 출제', '건설 기계 관리법']",기술/공학
