삐뽀삐뽀 119 이유식(개정판),9.9,37,"['육아법', '고구마', '미음', '토마토', '양배추', '퓌레']"
메종드율의 맛있는 집밥 이야기,10,5,"['샐러드', '카츠', '데리야키', '오이', '클래스', '스키야키']"
2만원으로 일주일 집밥 만들기,10,13,"['스팸', '연근조림', '새송이', '멸치 볶음', '요리 초보', '장국']"
튼이 이유식(세상 쉽고 맛있는),9.7,152,"['레시피', '소고기', '닭고기', '유아식', '양파', '아이밥상']"
와인 폴리(매그넘 에디션)(양장본 HardCover),9.7,92,"['맥닐', '술', '아마존', '카렌', '칠레', '남아프리카']"
백종원이 추천하는 집밥 메뉴(애장판),9.7,97,"['레시피', '만능', '조림', '요리비법', '중국식', '콩나물']"
아하부장의 맛(양장본 HardCover),10,5,"['유튜브 동영상', '태국', '떡볶이', '두부김치', '카르보나라', '양념']"
바리스타 2급 자격시험 예상문제집(2020)(개정판),8.3,12,"['생두', '자격증 시험', '실기', '특성', '위생', '시행']"
제과제빵기능사 필기(2022),9.2,35,"['유튜브', '기출문제', '기계', '반죽', '핵심 요약 노트', '제빵']"
디저트 디자인,10,17,"['스콘', '파운드', '쇼콜라', '셰프', '페퍼', '프티']"
제과제빵기능사 필기끝장(2021)(에듀윌),9.6,32,"['단기 합격', '제과', '적중', '감염병', '식품 위생학', '공정 관리']"
하루 한 끼 면역 밥상(한 그릇 비우고 면역력 채우는),10,14,"['레시피', '데리야키', '스키야키', '영양소', '베이글', '파피']"
맛있게 쓴 옥주부 레시피 100,7.9,198,"['멸치 볶음', '닭강정', '연근조림', '인스', '포스팅', '크리스토']"
라임맘의 실패 없는 아이주도 이유식 & 유아식(개정판),9.9,97,"['스무디', '토마토', '완자', '케일', '스틱', '낫토']"
한 그릇 뚝딱 이유식(개정판),9.6,156,"['레시피', '소고기', '유아식', '미음', '아이밥상', '기죽']"
이렇게 맛있고 멋진 채식이라면. 3: 사계절이 내 안으로,10,13,"['레시피', '샐러드', '파니니', '식생활', '채소 요리', '오크라']"
별이 빛나는 밤에 하이볼 한잔,10,1,"['레시피', '트렌디', '소주', '내방', '러블리', '폴라']"
1시간에 만드는 일주일 반찬,9.8,84,"['레시피', '멸치 볶음', '콩나물 무침', '집밥', '영자', '일품']"
디디미니의 초간단 인생맛 고단백 저탄수화물 다이어트 레시피,9.3,677,"['다이어터', '다이어트식', '토스트', '요리책', '비빔면', '조리법']"
커핑 바이블,10,1,"['생두', '브라우닝', '슈가', '이디스', '드라', '프로토콜']"
아이주도 이유식 유아식 매뉴얼 세트(개정증보판)(스프링)(전2권),9.9,36,"['브로콜리', '토마토', '고구마', '소고기', '머핀', '스프']"
와인은 어렵지 않아(증보 개정판)(양장본 HardCover),9.8,52,"['밸리', '블라인드', '줄리엣', '화이트 와인', '레드 와인', '오렌지']"
