작은 별이지만 빛나고 있어(10만 부 기념 한정판 에디션),9.6,333,"['인생', '한국에세이', '공감', '작가', '상처', '리틀']"
우리는 조구만 존재야 (New Year 에디션),9.6,59,"['한국에세이', '에세이', '그림에세이', '일상', '겨울', '공감']"
햇빛은 찬란하고 인생은 귀하니까요: 밀라논나 이야기,9.7,201,"['정세랑', '내장 지방', '어른', '장기 기증', '생활 철학', '삼풍']"
오늘은 이만 좀 쉴게요(10만 부 기념 스페셜 에디션),9.3,136,"['위로', '인생', '사랑', '인간관계', '에세이', '자존감']"
모든 사람에게 좋은 사람일 필요는 없어,8.8,776,"['위로', '연애', '인간관계', '에세이', '행복', '상처']"
이제는 오해하면 그대로 둔다,10,18,"['위로', '한국에세이', '에세이', '관계', '인스타그램', '사랑']"
상대적이며 절대적인 지식의 백과사전(반양장),9.6,48,"['에세이', '미스터리', '상상력', '원천', '개미', '수수께끼']"
"안녕, 소중한 사람",9.6,293,"['한국에세이', '작가', '사랑', '그때', '낮달', '삶의가치']"
우리의 인생이 겨울을 지날 때,10,6,"['윈터', '지혜', '월스트리트 저널', '가디언', '책방', '등교 거부']"
꽃을 보듯 너를 본다(J.H CLASSIC 2)(양장본 HardCover),9.3,8976,"['방탄소년단', '풀꽃', '한국현대시', '예쁘다', '보컬', '애송시']"
사랑한다고 말할 용기,10,1,"['에세이', '에디터', '완벽 주의자', '언니', '회복 탄력', '잡지']"
이 미로의 끝은 행복일 거야,9.9,25,"['인생', '한국에세이', '에세이', '무기력', '모험', '자책']"
우리는 약속도 없이 사랑을 하고(양장본 HardCover),10,26,"['인생', '에세이', '시인', '할머니', '감성에세이', '슬픔']"
"곰돌이 푸, 행복한 일은 매일 있어",9,15522,"['위로', '그림에세이', '공감', '사랑', '월트 디즈니', '미소']"
미워하는 미워하는 미워하는 마음 없이,10,17,"['작가', '여행 에세이', '책 사랑', '천국', '아이콘', '새벽']"
지쳤거나 좋아하는 게 없거나(리커버 에디션),9.8,75,"['연애', '무기력', '불안', '자책', '용기', '베스트셀러']"
모든 날에 모든 순간에 위로를 보낸다,9.2,322,"['한국에세이', '마음', '상처', '안도', '온기', '불안']"
어쩌면 동화는 어른을 위한 것,10,134,"['위로', '응원', '시간', '다정', '명언', '치유에세이']"
인생은 실전이다,9,148,"['한국에세이', '에세이', '유튜브', '재테크', '니체', '고민']"
당신을 위한 것이나  당신의 것은 아닌,10,4,"['한국에세이', '무직', '산책', '소설가 구보', '산책자', '비엔날레']"
땅콩일기,10,6,"['작가', '그림 에세이', '슬픔', '마음', '인스타그램', '일상']"
어린이라는 세계,9.7,336,"['한국에세이', '교실', '양육', '어른', '역할', '모두']"
마음이 흐르는 대로(양장본 HardCover),9.8,81,"['한국에세이', '의사', '교훈', '용기', '자신', '어지럼증']"
오늘만큼은 내 편이 되어주기로 했다,9.5,37,"['한국에세이', '에세이', '일상', '행복', '라테', '관계맺기']"
오리 집에 왜 왔니,10,1,"['그림 에세이', '반려 동물', '아기 오리', '찹쌀떡', '사고뭉치', '위트']"
모든 것은 기본에서 시작한다,9.5,28,"['한국에세이', '철학', '축구 선수', '손흥민', '신념', '담금질']"
가장 예쁜 생각을 너에게 주고 싶다,9.4,260,"['사랑', '로맨스', '삶', '시인', '한국현대시', '은호']"
만남은 지겹고 이별은 지쳤다,9.2,261,"['사랑', '한국에세이', '상처', '관계', '변명', '산문']"
마음의 결,9.2,317,"['위로', '사랑', '인간관계', '감정', '자존감', '고민']"
괜찮지 않은데 괜찮은 척했다,8.6,468,"['한국에세이', '인간관계', '행복', '마음', '응원', '자수성가']"
고르고 고른 말,10,1,"['에세이', '시인', '불안', '홍인', '루나', '언어 생활']"
나는 나로 살기로 했다,9.1,18109,"['위로', '자존감', '불안', '어른 아이', '밥벌이', '변명']"
잘했고 잘하고 있고 잘 될 것이다,9.7,443,"['작가', '에세이', '응원', '상처', '사랑', '서로']"
다정소감(양장본 HardCover),10,28,"['한국에세이', '용기', '축구', '제철 음식', '친구', '존재']"
일기,10,30,"['한국에세이', '소설', '코로나', '팬덤', '조카', '문장']"
누구도 벼랑 끝에  서지 않도록,9.9,16,"['신부', '청년', '어른', '선의', '김치찌개', '마음']"
언어의 온도(170만부 기념 에디션),8.8,19557,"['위로', '유래', '어원', '버릇', '지하철', '버스']"
있는 그대로 살아도 괜찮아,8.9,40,"['위로', '연애', '행복', '상처', '대화법', '활자']"
빅터 프랭클의 죽음의 수용소에서(양장본 HardCover),9.8,160,"['심리학', '로고', '나치', '자서전', '강제 수용소', '기법']"
너의 말이 좋아서 밑줄을 그었다,8.9,25,"['한국에세이', '마음', '세계 언어', '시인', '정말', '밀어']"
삶의 모든 색(인생 그림책 14)(양장본 HardCover),10,5,"['위로', '인생', '사랑', '그림 에세이', '노년', '가족']"
마음의 주인,9.5,72,"['한국에세이', '일상', '위로', '밀리언셀러', '퇴근길', '공기 놀이']"
그러라 그래(양장본 HardCover),9.4,2199,"['인생', '에세이', '삶', '아이유', '김나영', '여성 시대']"
관계를 정리하는 중입니다,9.5,162,"['인간관계', '사이다', '에디션', '루나', '싸가지', '얼간이']"
마음챙김의 시,8.9,7019,"['시집', '감정', '시인', '노벨문학상', '문학상', '하룬']"
나는 당신이 행복했으면 좋겠습니다,10,1,"['위로', '응원', '조언', '사랑 사랑', '코치', '먹구름']"
지쳤거나 좋아하는 게 없거나,8.5,10505,"['연애', '자존감', '무기력', '불안', '감정', '행복']"
걷는 독서(양장본 HardCover),9.8,144,"['시인', '지혜', '눈길', '성찰', '묵독', '사유']"
참 애썼다 그것으로 되었다(10만부 판매 기념 한정판),9.4,259,"['위로', '사랑', '상처', '공감', '불안', '에디션']"
조구만 일력(2022)(스프링),10,3,"['그림', '우울', '감정', '매달', '포토', '메시지']"
좋은 사람에게만 좋은 사람이면 돼,9.5,499,"['한국에세이', '인간관계', '관계', '처방전', '타인', '홈런']"
운명은 아직 결정되지 않았다(양장본 HardCover),10,18,"['위로', '성공', '사주', '인생', '대운', '사주팔자']"
바다는 잘 있습니다(문학과지성 시인선 503),9.4,415,"['시집', '한국시', '현대시', '혼잣말', '내시경', '담장']"
운다고 달라지는 일은 아무것도 없겠지만,9.1,1903,"['시인', '위로', '무심', '기드온', '쑥국', '고아']"
오늘은 더 좋은 날이 될 거예요(스프링),10,7,"['행복', '일러스트', '위로', '사랑', '작가', '케이스']"
우리가 서로에게 선물이 된다면,9.8,40,"['이혼', '희망', '퍼스트레이디', '감동', '메릴랜드', '래리']"
내가 죽으면 장례식에 누가 와줄까(너나들이 리커버 에디션),9.4,415,"['위로', '한국에세이', '인간관계', '관계', '행복', '삶의지혜']"
취향의 기쁨,9.3,28,"['한국에세이', '응원', '습관', '단발머리', '대교', '정의']"
가만히 있어도 괜찮다 말해주길(투게더 에디션),9,59,"['한국에세이', '마음', '상처', '위로', '처방전', '초조']"
참 소중한 너라서(있는 그대로),9.1,728,"['위로', '사랑', '연애', '인간관계', '감성에세이', '작가']"
나쁜 기억 지우개,10,13,"['위로', '한국에세이', '유의어', '힌트', '감동', '오늘']"
모래알만 한 진실이라도(양장본 HardCover),9.2,5098,"['인생', '한국에세이', '에세이', '일상', '작가', '산문']"
너에게 주고픈 아름다운 시(양장본 HardCover),9.8,20,"['나태주', '봄눈', '현대시', '정호승', '김수영', '윤동주']"
명랑한 은둔자,9.7,196,"['에세이', '관계', '우정', '미스터리', '알코올 중독', '자유']"
멋쟁이 희극인,9.3,13,"['한국에세이', '트위터', '아이디어', '강연', '메모', '물성']"
애정하는 사람,10,2,"['사랑', '에세이', '행복', '가수', '슈퍼스타', '연예인']"
가난해지지 않는 마음,9.5,14,"['한국에세이', '다솔', '요조', '풍자', '빙수', '도시']"
지구인만큼 지구를 사랑할 순 없어,9.7,544,"['작가', '여행 에세이', '순정', '비밀 기지', '방패', '예림']"
삶으로 다시 떠오르기,9.8,201,"['일본어', '명상에세이', '에고', '류시화', '행성', '영적']"
"유일한, 평범(KI신서 9958)",10,18,"['응원', '유튜브', '아나운서', '프리랜서', '난임', '방송인']"
어쩌면 별들이 너의 슬픔을 가져갈지도 몰라(감성치유 라이팅북),9.4,876,"['한국시', '이성복', '니체', '현대시', '이병률', '필사']"
100 인생 그림책(Dear 그림책)(양장본 HardCover),9.8,112,"['그림 에세이', '진짜 모습', '독일에세이', '책장', '나이', '순간']"
나는 나에게 좋은 사람이고 싶어,10,24,"['한국에세이', '에세이', '청춘', '행복', '라비', '브런치']"
너에게만 좋은 사람이 되고 싶어(리커버 한정판),9.2,378,"['위로', '감성에세이', '인스타그램', '사랑', '아포리즘', '다다']"
시와 산책(말들의 흐름 4)(반양장),9.7,109,"['한국에세이', '시인', '작가', '에밀리 디킨슨', '서로', '산문집']"
나라는 식물을 키워보기로 했다,9.8,73,"['한국에세이', '그림 에세이', '성장', '일상', '단어장', '셀프']"
사랑의 온도,9.7,136,"['연애', '연애소설', '이별', '위로', '에세', '자존']"
당신의 이름을 지어다가 며칠은 먹었다(문학동네시인선 32),9.3,406,"['시집', '한국시', '현대시', '허수경', '실천 문학', '서정시']"
여행의 이유,9.3,8781,"['한국에세이', '상처', '중국', '글쓰기', '추방', '여행자']"
사라지고 있지만 사랑하고 있습니다,10,14,"['한국에세이', '감정', '화수분', '남궁', '치매 노인', '치매']"
사랑이 밥 먹여준다,10,2,"['사랑', '한국에세이', '상처', '신부', '코로나', '노숙인']"
소년과 두더지와 여우와 말(양장본 HardCover),9.8,68,"['그림에세이', '그림', '그래픽 노블', '성찰', '톤즈', '영미에세이']"
세상에 나 혼자라고 느껴질 때,10,15,"['코로나', '위로', '행복', '외로움', '루틴', '일본에세이']"
