거꾸로 읽는 세계사,9.8,120,"['드레퓌스', '사라예보', '베트남', '대공황', '베트남 전쟁', '히틀러']"
총 균 쇠,9.1,16184,"['유럽', '퓰리처상', '중국', '퓰리처', '유라시아', '문명사']"
조선 레지스탕스의 두 얼굴,8.3,28,"['고종', '독립운동', '안중근', '봉오동전투', '봉오동', '만주']"
세계사 최대한 쉽게 설명해 드립니다(완역판)(누구나 교양 1),9.5,256,"['중국', '나폴레옹', '청소년역사', '아메리카', '텔러', '히틀러']"
음식을 공부합니다,10,25,"['조선', '평양', '베이징', '잡채', '축산물', '떡국']"
소비의 역사(개정판)(리커버:K),10,6,"['유럽', '일상', '이본', '사람', '레이디', '문화사']"
나의 한국현대사 1959-2020,8.7,2163,"['대한민국', '욕망', '민주 항쟁', '민주화', '민주 국가', '대북정책']"
둠 재앙의 정치학(양장본 HardCover),10,19,"['슈뢰딩거', '코로나', '나폴레옹', '재난', '체르노빌', '파인만']"
나의 문화유산답사기 365일(양장본 HardCover),8.8,22,"['다이어리', '제주', '여행', '국내여행', '안동', '여행지']"
알고 보면 무시무시한 엽기인물 세계사,0,0,"['나폴레옹', '히틀러', '간디', '나이팅게일', '앙투아네트', '클레오파트라']"
총 균 쇠(양장본 HardCover),9.5,1983,"['유럽', '중국', '유라시아', '동아시아', '폴리네시아', '문명사']"
메트로폴리스(양장본 HardCover),9.4,104,"['세계사', '환경', '암스테르담', '바그다드', '미래 도시', '팬데믹']"
썬킴의 거침없는 세계사,9.8,68,"['일본', '중국', '히틀러', '독일', '대전', '조선']"
설민석의 조선왕조실록,9.1,20316,"['호랑이', '한국사', '조선 최고', '조선시대', '조선 최초', '임금']"
세계사를 바꾼 10가지 감염병,10,17,"['유럽', '페스트', '스페인', '에이즈', '레오나르도', '구텐베르크']"
나의 문화유산답사기: 제주편(감귤 에디션),10,45,"['제주', '추사', '하멜', '세한도', '한라산', '조천']"
30개 도시로 읽는 일본사,10,2,"['도쿄', '교토', '미나토', '홋카이도', '야마구치', '이에야스']"
이윤기의 그리스 로마 신화(특별합본판)(양장본 HardCover),9.6,478,"['심리학', '고전', '인문학', '인류학', '유럽', '아리스']"
빵으로 읽는 세계사,9.3,18,"['유럽', '포르투갈', '문명', '베이글', '스페인', '유대인']"
버치문서와 해방정국,8.8,2,"['미군정', '갈등', '이승만', '혁명', '여운형', '한국근대사']"
독살로 읽는 세계사,9.9,90,"['법의학', '유럽', '나폴레옹', '권력', '스튜어트', '워싱턴']"
최태성의 만화 한국사. 1: 전근대편,9.6,27,"['조선', '내신', '공민왕', '단군', '한강', '동아시아']"
문명의 모자이크 유럽을 가다. 1: 북유럽,10,1,"['스웨덴', '바이킹', '노르웨이', '복지', '핀란드', '서양']"
최태성의 만화 한국사. 2: 근현대편,9.9,24,"['역사', '내신', '대한민국', '대원군', '식민지 조선', '한반도']"
세종의 허리 가우디의 뼈,10,17,"['조선', '니체', '세계역사인물', '도스토옙스키', '프리다', '퀴리']"
조선잡사,9.6,84,"['역사', '화장품', '킹덤', '감동', '천자문', '웃음']"
지도의 역사(양장본 HardCover),10,12,"['프톨레마이오스', '연구', '메이슨', '천체', '포르투갈', '로마']"
B급 세계사. 3: 서양 미술편,10,15,"['미술사', '나폴레옹', '세계역사인물', '아르테', '교양세계사', '유다']"
일본의 굴레(양장본 HardCover),9.6,52,"['성장', '경제', '메이지', '막부', '아베', '일본사']"
처음 읽는 음식의 세계사,9.5,24,"['유럽', '지중해', '식자재', '콜럼버스', '중국 요리', '인도']"
친일파 열전,9.5,154,"['역사', '일본', '친일', '역사만화', '일제 강점기', '독립 운동가']"
제2차 세계대전 인포그래픽(건들건들 컬렉션)(양장본 HardCover),9.5,23,"['유럽', '전쟁사', '밀리터리', '독일', '소련', '연합국']"
바보의 세계,9.2,72,"['역사', '멍청이', '스티븐', '교양세계사', '로버트', '연대기']"
과일로 읽는 세계사,10,30,"['모택동', '천일야화', '인디언', '터키', '카리브', '다래']"
독일의 음식문화사,0,0,"['룩셈부르크', '벨기에', '토스트', '오스트리아', '로마', '네덜란드']"
이희수의 이슬람(양장본 HardCover),10,4,"['중동', '다문화', '아랍', '아랍인', '서양문화사', '무슬림']"
전사들의 황금제국 금나라(동북아역사재단 연구총서 129)(양장본 HardCover),10,1,"['중국', '동아시아', '한족', '여진', '남송', '왕조']"
1일 1페이지 조선사 365,10,36,"['조선', '조선총독부', '설화', '정조', '숙종', '효종']"
이덕일의 당당 한국사,10,7,"['전쟁사', '조선왕조실록', '한국통사', '신라', '알프스', '최무선']"
세계사 속 중국사 도감(지도로 읽는다),10,4,"['현대 중국', '중국 사회', '유라시아', '몽골 제국', '북경', '남북']"
그림으로 보는 돈의 역사,10,69,"['유대인', '유럽', '잡학', '세계경제', '들라크루아', '명화']"
하룻밤에 읽는 세계사,9.3,37,"['유럽', '중국', '나폴레옹', '문명', '아메리카', '이슬람']"
국화와 칼,9.7,104,"['일본 문화', '당시 일본', '일본사', '일본인', '김윤식', '문화인류학']"
편지 공화국(양장본 HardCover),10,1,"['고전', '역사', '아렌트', '근대 유럽', '아이히만', '유럽사']"
한중록,9.2,468,"['조선시대', '사도 세자', '세자빈', '갈등', '영조', '기록']"
역사의 원전(개정판)(양장본 HardCover),0,1,"['윌리엄', '조지', '리처드', '독일군', '로버트', '로런스']"
"그때, 맥주가 있었다",9.4,3,"['유럽', '사라예보', '크로스', '술', '주류', '포터']"
축의 시대(종교의 탄생과 철학의 시작)(양장본 HardCover),9.3,45,"['공자', '플라톤', '종교사', '소크라테스', '이사야', '맹자']"
처음 읽는 중국사,9.5,30,"['중화민국', '동아시아', '춘추', '몽골', '만주족', '몽골족']"
