이어령의 마지막 수업,9.8,43,"['죽음', '삶', '인문교양', '인생', '스승', '인터 스텔라']"
소크라테스 익스프레스(20만 부 기념 윈터 에디션),9.6,875,"['철학자', '마르쿠스 아우렐리우스', '몽테뉴', '에피쿠로스', '알랭 드 보통', '보부아르']"
2022 현직교사들이 들려주는 면접레시피,10,9,"['기출 문제', '임용', '과정 중심 평가', '중등', '학습 공동체', '교육 복지']"
보이지 않는 것에 의미가 있다,10,12,"['인생', '전문', '진료실', '정신', '파킨슨병', '마지막 선물']"
오십에 읽는 논어,9.8,16,"['공자', '지혜', '절반', '인생 후반전', '인생 후반', '이익']"
나는 나답게 살기로 했다,9.3,168,"['글쓰기', '트라우마', '사주', '명상', '자유', '성찰']"
2022 사이다 면접,9.4,5,"['임용', '학급 운영', '구상', '교과', '심층 면접', '문제 은행']"
아직 오지 않은 날들을 위하여,10,11,"['철학', '나이', '몽테뉴', '루틴', '황혼', '평균 수명']"
어른의 문답법,9.5,75,"['논리학', '대화법', '대화 기술', '논쟁', '타파', '불통']"
인간으로 사는 일은 하나의 문제입니다,10,28,"['인문교양', '정치인', '관통', '공동체', '서울대', '정치철학']"
공정하다는 착각(30만 부 기념 리커버 에디션)(리커버:K),9,14896,"['인문교양서', '사회학', '능력주의', '정의', '공동선', '굴욕']"
아버지의 죽음 앞에서,10,31,"['사랑', '이별', '마지막 순간', '가디언', '감동', '선데이']"
일생일문,9.7,38,"['질문', '교육 방송', '3.1운동', '도가니', '이봉창', '농민']"
당신이 내 이름을 불러준 순간,0,0,"['위로', '작가', '심리학', '문장', '인문', '통찰']"
공간의 미래,9.2,3626,"['인문교양서', '목구조', '물류', '예측', '학교', '도시']"
"큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1, 2, 3급)(상)(2021)",9.9,250,"['합격', '판서', '이회영', '최신 기출문제', '연표', '앞표지']"
질서 너머(특별 한정판 골드에디션),9,3897,"['인생', '인문교양서', '유튜브', '법칙', '두려움', '허무주의']"
생각한다는 착각,7.8,33,"['심리학', '내면 세계', '통찰력', '즉흥', '인간내면', '지그문트 프로이트']"
"큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1, 2, 3급)(하)(2021)",9.9,220,"['합격', '판서', '최재형', '기출 모의고사', '최신 기출문제', '연표']"
2022 사이다 수업,7.5,1,"['임용', '과정 중심 평가', '임용고시', '경기도 교육청', '예비 교사', '신규']"
미움받을 용기,9.2,2639,"['심리학', '철학자', '인간관계', '자기계발', '아들러 심리학', '현대 심리학']"
사피엔스 그래픽 히스토리. 2: 문명의 기둥,0,0,"['카프카', '농업 혁명', '로케이션', '공자', '관료제', '작물']"
사피엔스,9.3,14680,"['인류학', '호모 사피엔스', '호모 에렉투스', '인류문명', '과학 혁명', '종만']"
지적 대화를 위한 넓고 얕은 지식: 제로 편,9.2,9778,"['인문교양', '싯다르타', '밀리언셀러', '인문사회', '제로', '우파니샤드']"
필로소피 랩,9.6,90,"['철학자', '질문', '소크라테스', '철학 개념', '응답', '보부아르']"
의미의 지도,10,8,"['심리학', '신념', '혼돈', '탐험', '위험천만', '믿음']"
2022 임용 면접의 MIND,0,0,"['과정 중심 평가', '초시', '마인드맵', '학습 공동체', '합격자', '교과']"
숫자는 어떻게 진실을 말하는가(양장본 HardCover),9,48,"['환경', '경제', '전기 자동차', '태양광 발전', '통계 분석', '데이터']"
정의란 무엇인가(마이클 샌델),9.5,1595,"['철학', '인문교양서', '존 롤스', '공리주의', '신념', '벤담']"
지적 대화를 위한 넓고 얕은 지식. 1,9.3,994,"['역사', '인문학', '밀리언셀러', '사회', '독서 모임', '자본주의']"
"2021 해커스 한국사능력검정시험 2주 합격 심화 1,2,3급",9.5,79,"['마인드맵', '실전 느낌', '약점 보완', '핵심 포인트', '오답 분석', '시크릿']"
문제는 무기력이다,8.5,54,[]
행복의 지도,9.7,82,"['가족', '소크라테스', '부탄', '문화', '아이슬란드', '교양철학']"
초역 니체의 말(양장본 HardCover),9.7,121,"['위로', '철학자', '일본', '마음', '철학', '통찰력']"
생각을 바꾸는 생각들,9.4,96,"['리더십', '피터슨', '유발 하라리', '갈등', '유누스', '문화']"
자존감 수업,9.2,5229,"['심리학', '인간관계', '상처', '이별', '미움', '회복']"
나는 왜 생각이 많을까?,9.8,33,"['뇌과학', '루틴', '능률', '교양심리', '연구 기관', '몸']"
타인의 친절,10,1,"['침팬지', '인간', '유인원', '러프', '행동 변화', '진화']"
대한민국 교육트렌드 2022,0,0,"['지방 선거', '시도 교육청', '학습 공동체', '이해 관계자', '교육부', '원격 교육']"
지적 대화를 위한 넓고 얕은 지식. 2,9.4,393,"['철학', '인문학', '과학', '예술', '밀리언셀러', '독서 모임']"
문제는 무기력이다,0,0,"['우울증', '좌절', '대한', '치료법', '방해', '심신']"
퓰리처 글쓰기 수업,9.9,82,"['퓰리처상', '장강명', '뇌과학', '글 솜씨', '스토리텔링', '코칭']"
왜 살아야 하는가,8.8,14,"['삶', '고전', '니체', '비트겐슈타인', '키르케고르', '교양철학']"
"인문 여행자, 도시를 걷다",9.4,20,"['역사', '여행', '인문교양', '인문학', '여행지', '동학사']"
12가지 인생의 법칙,9,1546,"['삶', '지혜', '심리학', '하버드대', '경계선', '영미']"
역사의 쓸모,9.7,1233,"['삶', '이회영', '궤적', '성찰', '구텐베르크', '아이폰']"
천재의 지도,10,3,"['철학자', '도약', '레오나르도 다빈치', '마리 퀴리', '창의', '인플레이션']"
채터 당신 안의 훼방꾼,9.6,23,"['심리학', '감정', '내면', '에디터스', '심리 실험', '성격 이론']"
팩트풀니스(양장본 HardCover),9.5,1925,"['침팬지', '편견', '확증편향', '탈진실', '자연재해', '데이터']"
사피엔스 그래픽 히스토리. 1: 인류의 탄생,9.8,82,"['인문교양서', '스토리 텔링', '그래픽노블', '원작', '노블', '피고']"
나도 아직 나를 모른다(개정판),9.7,43,"['위로', '자존감', '심리치료', '우울증', '과학', '임상 심리학']"
"2022 에듀윌 한국사능력검정시험 기본서 심화(1, 2, 3급) 상+하 세트(전2권)",10,20,"['합격', '국사', '부스터', '빈출 문제', '빈출 개념', '입 문자']"
난생 처음 한번 공부하는 미술 이야기. 5: 이탈리아 르네상스 문명과 미술(난처한 시리즈),9.6,177,"['미술사', '그림', '건축', '여행 가이드', '구어체', '사학']"
군주론(현대지성 클래식 38),9.7,34,"['움베르토 에코', '서양철학', '군주', '교황청', '금서', '열망']"
"메타버스 FOR 에듀테크: 게더타운, 제페토, 이프랜드, 가상현실 코스페이시스",10,8,"['인공지능', '온라인', '4차산업혁명', '기획', '증강현실', '미래인재']"
2022 인생일력,9.2,3,"['호랑이', '동양 고전', '한서', '논어', '맹자', '조선 사람']"
"2021 큰별쌤 최태성의 별별한국사 기출 500제 한국사능력검정시험 심화(1, 2, 3급)",10,65,"['선택지', '김득신', '최신 기출문제', '조선', '앞표지', '실제 시험지']"
당신이 옳다,9.2,7005,"['공감', '심리', '치유', '심리치유', '외주', '고스']"
기분이 태도가 되지 않으려면,8,8,"['감정', '무기력', '우울', '슬픔', '상담', '글쓰기']"
명상록(완역판)(현대지성 클래식 18),9.6,276,"['철학', '플라톤', '에픽테토스', '스토아 철학', '스토아', '그리스어']"
문화 트렌드 2022,0,0,"['지류', '구독', '이방인', '보복', '테크', '예능']"
몰입의 즐거움(리커버판)(개정판)(양장본 HardCover),9.3,97,"['사랑', '전자책', '행복론', '스페셜 에디션', '인생론', '바이블']"
나는 왜 네 말이 힘들까,9.3,161,"['대화법', '관계', '상대', '행복', '관계맺기', '거절']"
1일 1페이지 짧고 깊은 지식수업 365: 통찰력 편,0,1,"['그림책', '심지', '명문장', '명언', '음악 지식', '철학 소설']"
"몸에서 자연으로, 마음에서 우주로",10,2,"['생명', '동의보감', '초기 경전', '동양 의학', '양생', '불교']"
아비투스,8.7,963,"['인문교양서', '심리', '습관', '철학자', '부르디외', '지식']"
2022 특수교사 임용의 정석 2차 합격서: 유 초등 특수편,10,1,"['유아', '교직', '수업 실연', '적성', '심층 면접', '학습 지도안']"
The Three Kingdoms 만화 삼국지 세트(전2권),10,1,"['제갈공명', '관우', '조조', '적벽 대전', '요코야마', '유비']"
읽는 인간 리터러시를 경험하라,10,11,"['문해력', '가짜 뉴스', '맥락', '디자인', '브렉 시트', '도구']"
죽은 자가 말할 때,10,11,"['죽음', '법의학', '학자', '마지막 순간', '클라', '부검']"
"난생 처음 한번 공부하는 미술 이야기. 1: 원시, 이집트, 메소포타미아 문명과 미술(난처한 시리즈)",9.7,238,"['미술사', '로마 문명', '제물', '암반', '청전', '낙찰']"
심리 읽어드립니다,10,45,"['코로나', '유튜브', '사피엔스', '스튜디오', '채널', '심리학자']"
난생 처음 한번 공부하는 미술 이야기. 6: 초기 자본주의와 르네상스의 확산(난처한 시리즈),9.6,159,"['교회', '베네치아', '서양미술사', '플랑드르', '미술작품', '미술감상']"
진리쌤 체육교원임용(3판),0,0,"['학습 지도안', '수업 실연', '수업 사례', '원격 수업', '동아 출판', '탁구']"
어른의 어휘력,8.6,382,"['글쓰기', '공감', '낱말', '작가', '모국어', '어휘']"
2022 하이패스 2차 심층면접 집단토의,0,0,[]
2022 하이패스(HIPASS) 2차 수업실연 수업과정안,0,0,[]
믿는 인간에 대하여,9.8,72,"['예루살렘', '라틴어', '수도자', '유다', '헌법학', '취약 계층']"
두 사람이 걷는 법에 대하여(양장본 HardCover),10,2,"['혐오', '한나 아렌트', '사유', '철학에세이', '모두', '하나님']"
미움받을 용기. 2,9.4,548,"['심리학', '철학자', '인생', '인간관계', '아들러 심리학', '자립']"
도시는 무엇으로 사는가,9.2,1504,"['역사', '인문교양서', '과학', '옹벽', '부하 직원', '센트럴 파크']"
노화의 종말,9,171,"['하버드', '인문교양', '기술', '프로그래밍', '유전학', '장수']"
매우 예민한 사람들을 위한 책(10만 부 기념 리커버)(양장본 HardCover),9,333,"['심리학', '우울증', '상담', '임상시험', '슈만', '교양심리']"
도시의 보이지 않는 99%,8.4,11,"['숨은그림찾기', '상호 작용', '과속', '진화', '교통 신호', '팟캐스트']"
비폭력대화,9.6,123,"['인간관계', '심리상담', '디팩', '초프라', '의사소통', '백문']"
나에게 나를 입힌다,10,1,"['인간관계', '내면', '멘토', '인생', '사랑', '경험']"
생각의 지도,9.5,190,"['동양', '비교문화', '서양', '서양인', '차이', '고대 그리스']"
헤이트(Hate)(양장본 HardCover),10,35,"['법학', '인류학', '비극', '심리학', '인종주의', '미디']"
난생 처음 한번 공부하는 미술 이야기. 3: 초기 기독교 문명과 미술(난처한 시리즈),9.5,147,"['콘스탄티누스', '서양미술사', '콘스탄티노플', '미술작품', '청빈', '미술감상']"
음악과 교수학습의 실제(예비교사와 임용고사 수험생을 위한)(2판),0,0,"['문항', '지도안', '실습', '수업 실연', '설계', '설정']"
공간이 만든 공간,9.3,770,"['역사', '인문교양', '과학', '건축 디자인', '제약', '유전자']"
여덟 단어,9.5,663,"['인생', '고전', '국립중앙도서관', '자존', '권위', '人生']"
오래된 질문,9.6,70,"['스님', '철학', '종교', '노블', '한국 불교', '사찰']"
걸어 다니는 어원 사전,9.5,190,"['인문교양서', '전쟁사', '독성학', '마조히즘', '단어', '꼬리']"
내 문장이 그렇게 이상한가요?,9.3,497,"['글쓰기', '보문', '교열', '문장작법', '한국어 표현', '제안서']"
인간 본성의 법칙(양장본 HardCover),9.5,655,"['심리학', '내면', '감정', '인간관계', '시기심', '뇌 구조']"
행복의 기원(양장본 HardCover),10,7,"['이레', '아픔', '인지심리학', '처방', '교양심리', '심리학자']"
교실속 갈등 상황 100문 101답. 1: 중등,9.9,47,"['판타지소설', '판타지', '교육에세이', '패거리', '복학생', '여교사']"
번역의 모험(양장본 HardCover),10,4,"['한국어', '일본어', '문장 부호', '주제어', '쉼표', '번역가']"
홀로서기 심리학,9.6,265,"['감정', '상처', '습관', '타인', '홀로서기', '심리']"
남편을 버려야 내가 산다,8.5,17,"['감정', '심리', '아내', '교양심리', '욕망', '자립']"
무기력이 무기력해지도록,9.8,24,"['감정', '우울증', '마음', '습관', '작업 기억', '루틴']"
난생 처음 한번 공부하는 미술 이야기. 4: 중세 문명과 예술(난처한 시리즈),9.5,159,"['미술사', '로마네스크', '서양미술사', '스테인드글라스', '미술작품', '바이킹']"
가르침을 멈추니 배움이 왔다,0,0,"['위로', '철학', '온라인 수업', '교실 수업', '아이', '학습 공동체']"
사랑의 기술(5판),9.5,164,"['심리학', '철학자', '질문', '라이너', '정신 분석 학자', '정신분석학']"
한국사능력검정시험: 심화(2022)(EBS),9.1,48,"['문항', '공무원 수험', '등급', '개편', '대단원', '인증']"
승자의 DNA,9.7,20,"['역사', '전쟁사', '나폴레옹', '미래', '아이젠하워', '윈스턴 처칠']"
2022 선생님을 위한 수업실연 중등역사,0,0,"['임용', '문항', '과정 중심 평가', '지도안', '예비 교사', '예시']"
2022 경기도 X파일,0,0,"['유아', '초등', '심층 면접', '교육청', '중등', '문항']"
난생 처음 한번 공부하는 미술 이야기. 2: 그리스 로마 문명과 미술(난처한 시리즈),9.7,160,"['미술사', '메소포타미아', '미케네', '유럽 역사', '청전', '낙찰']"
청소년상담사 2·3급 2차 면접대비(2021)(개정판 8판),10,11,"['합격', '질문', '실제 면접', '모의', '적중', '윤리']"
길가메시 서사시(현대지성 클래식 40),10,79,"['지혜', '수메르', '대홍수', '폭군', '인류', '번역']"
2022 선생님을 위한 수업실연: 중등역사 판서의 끝판왕,0,0,"['카드', '성취 기준', '정석', '예비', '핵심 테마', '교육 과정']"
2022 수학 수업실연 A to Z,0,0,"['모의 평가', '발문', '예시', '지도안', '지도서', '기반']"
소유냐 존재냐(2판),9.7,50,"['종교', '휴머니스트', '항거', '인간', '명저', '휴머니즘']"
노자가 옳았다(양장본 HardCover),9.5,253,"['코로나', '철학자', '철학', '도덕경', '사상', '지구 온난화']"
