미드나잇 라이브러리,9.3,7064,"['인생', '영미소설', '죽음', '삶', '영화원작소설', '우울증']"
달러구트 꿈 백화점. 2,9.5,6813,"['위로', '한국소설', '판타지', '판타지소설', '공감', '페니']"
불편한 편의점(15만부 기념 윈터 에디션),9.8,394,"['한국소설', '삶', '위로', '소설', '독고', '여사']"
달러구트 꿈 백화점,9.2,21805,"['위로', '한국소설', '청소년소설', '판타지소설', '공감', '판타지']"
크리스마스 피그(양장본 HardCover),9.6,70,"['영미소설', '어린이', '소설', '디피', '장난감', '추억']"
옷소매 붉은 끝동 세트(전2권),9.9,34,"['궁녀', '집주', '동궁', '임금', '도깨비', '전각']"
방금 떠나온 세계,9.7,109,"['한국소설', '소설', '소설집', 'SF소설', '사랑', '작가']"
"오늘 밤, 세계에서 이 사랑이 사라진다 해도",9.1,208,"['일본소설', '연애', '로맨스소설', '청춘 소설', '도루', '고백']"
듄. 1(DUNE)(양장본 HardCover),9.5,84,"['영미소설', 'SF과학소설', '소설', '우주', '리트', '행성']"
완전한 행복,9.4,6001,"['한국소설', '소설', '가족', '서스펜스', '작가', '타인']"
아몬드(양장본 HardCover),9.3,11346,"['소설', '청소년소설', '감정', '공감', '윤재', '소년']"
[Prestige Lounge 전용 특별 사인본] 작별하지 않는다,0,0,"['인선', '고객', '취소', '행사', '고투', '폭설']"
인간 실격(세계문학전집 103),9.4,1188,"['일본소설', '세계고전문학', '불안', '직소', '데카당스', '통과 의례']"
밝은 밤,9.8,494,"['위로', '한국소설', '사랑', '작가', '할머니', '슬픔']"
작별하지 않는다,9.1,159,"['사랑', '작가', '인선', '폭설', '학살', '고통']"
듄 1-6 세트(양장본 HardCover)(전6권),9.5,43,"['영미소설', '영화원작소설', 'SF소설', '우주', '레토', '미국소설']"
소문,9.7,44,"['미스터리', '살인마', '소설', '발목', '진실', '소녀']"
우리가 빛의 속도로 갈 수 없다면(양장본 HardCover),9.4,2651,"['한국소설', '소설', '사랑', '소설집', 'SF소설', '소설가']"
지구 끝의 온실,9.8,192,"['한국소설', '식물', '소설', '작가', '더스트', '온실']"
행성어 서점(양장본 HardCover),9.8,29,"['한국소설', 'SF소설', '소설집', '소설', '사랑', '초엽']"
백조와 박쥐,9.7,255,"['일본소설', '살인사건', '미스터리소설', '미스터리', '일본 추리 소설', '추리 작가']"
나인(소설Y)(양장본 HardCover),10,100,"['한국소설', '식물', '서스펜스', '영어', '목소리', '상상력']"
모순(양장본 HardCover),9.7,677,"['한국소설', '인생', '장편소설', '소설 속 주인공', '출판계', '이모']"
요리코를 위해,9.4,205,"['살인사건', '수기', '장판', '여학생', '비밀', '진상']"
데미안(리커버 한정판)(초판본)(1919년 오리지널 초판본 패브릭 에디션)(양장본 HardCover),9.6,1883,"['세계고전문학', '양장', '디자인', '출판', '독일소설', '색감']"
참을 수 없는 존재의 가벼움(양장본 HardCover),9.4,2055,"['사랑', '작가', '역사', '체코소설', '유럽역사', '소설가']"
나미야 잡화점의 기적(양장본 HardCover),9.4,22171,"['살인사건', '영화원작소설', '인생', '편지', '고민 상담', '답장']"
1차원이 되고 싶어,9.9,39,"['소설', '로맨스', '성장소설', '장편소설', '스릴러', '무늬']"
