코스모스(보급판),9.2,22543,"['우주', '천문학', '데모크리토스', '타이슨', '교양과학', '케플러']"
이기적 유전자(40주년 기념판),9.2,6506,"['유전학', '이타주의', '복제', '현대생물학', '진화', '코일']"
다정한 것이 살아남는다(양장본 HardCover),9.7,67,"['우즈', '인류', '최재천', '협력', '친화력', '교류']"
일어날 일은 일어난다(양장본 HardCover),8.5,12,"['슈뢰딩거', '파인먼', '물리학자', '자유의지', '양자 역학', '공명']"
미적분의 힘,9.8,45,"['미적분학', '우주', '수학사', '아르키메데스', '페르마', '갈릴레이']"
에이지리스,10,4,"['프로그래밍', '노화', '애니멀', '클론', '미토콘드리아', '노쇠']"
엔드 오브 타임,9.3,451,"['우주', '미래엔', '지구', '세이건', '아마존', '미래']"
우아한 우주,10,2,"['정세랑', '원소', '네이처', '프라이즈', '에세이 작가', '천문학자']"
지구의 짧은 역사(양장본 HardCover),10,19,"['하버드', '생명체', '자연사', '이상기후', '화산', '운석']"
김상욱의 양자 공부(양장본 HardCover),9.6,525,"['과학동아', '양자역학', '어벤저스', '이명현', '김제동', '파인만']"
이토록 뜻밖의 뇌과학,9,418,"['내면', '플라톤', '정재승', '생각', '다양성', '자유의지']"
떨림과 울림(10만부 기념 한정판 리커버),9.4,945,"['우주', '과학이야기', '물리학', '유시민', '플로라', '표준편차']"
오늘의 천체관측,10,2,"['우주', '천문학', '천체 망원경', '스카이', '갈릴레오', '별자리']"
외계인 인터뷰,9.1,47,"['고대사', '사본', '공군', '외계 생명체', '마지막 편지', '사단']"
아내를 모자로 착각한 남자(개정판)(양장본 HardCover),9.2,4314,"['과학이야기', '리베카', '브루너', '힐데가르트', '매들린', '이정호']"
정재승의 과학 콘서트(개정증보판 2판),9.7,106,"['과학이야기', '수학', '잭슨 폴록', '이정모', '사유', '커튼콜']"
시간은 흐르지 않는다(양장본 HardCover),9.3,1976,"['철학', '물리학', '마들렌', '우주', '현대 물리학', '원천']"
6도의 멸종,9.2,53,"['유럽', '알프스', '투발루', '캘리포니아', '킬리만자로', '아프리카']"
공식의 아름다움(양장본 HardCover),9.7,175,"['비트코인', '인공지능', '페르마', '탐구', '라이프니츠', '인류문명']"
발칙한 수학책,10,33,"['교양수학', '아르센', '수학이야기', '수학 이론', '수학 천재', '유클리드 기하학']"
궁극의 질문들(양장본 HardCover),10,1,"['인공 지능', '이명현', '송기원', '최전선', '플랑크', '이은희']"
코스모스(사이언스 클래식 4)(양장본 HardCover),9.6,870,"['우주', '천문학', '데모크리토스', '타이슨', '케플러', '갈릴레오']"
바디: 우리 몸 안내서,9.4,508,"['인체이야기', '소화 기관', '기묘', '프루스트', '마르셀', '앨버트']"
다크데이터,10,19,"['빅데이터', '튜링', '베이즈', '결정', '경제학자', '앨런']"
기후의 힘,10,5,"['환경', '히스토리', '미래', '조선', '홍경래', '변화']"
과학자의 흑역사,9.5,88,"['우주', '호킹', '아인슈타인', '양자역학', '돌턴', '패러데이']"
호흡의 기술,9.4,29,"['호모', '코로나19', '숨쉬기', '호흡법', '스탠퍼드 대학', '척추측만증']"
식욕의 과학,10,9,"['인체', '다이어트', '음식', '체중', '건강', '비만']"
프리드버그 선형대수학(5판),10,23,"['선형변환', '벡터공간', '연산자', '행렬식', '슈미트', '해밀턴']"
더 위험한 과학책(양장본 HardCover),9.4,724,"['웹툰', '과학이야기', '게이츠', '교양과학', '지구인', '드론']"
모든 것은 그 자리에,9.5,60,"['쿠루', '자서전', '토스트', '과학에세이', '뉴요커', '로웰']"
모든 순간의 물리학(양장본 HardCover),9,172,"['하이데거', '우주', '코페르니쿠스', '과학기술', '스텔라', '문명']"
거의 모든 것의 역사(개역판),9.4,54,"['우주', '청소년과학', '생물', '인류', '다윈', '아인슈타인']"
어느 수학자의 변명(개정판)(양장본 HardCover),9.2,14,"['프레이', '아이스킬로스', '하디', '고드', '아르키메데스', '수학 개념']"
뇌 과학의 모든 역사(양장본 HardCover),9.8,31,"['정재승', '신경과학', '맨체스터', '세기', '브레인', '휴먼']"
미적분의 쓸모(양장본 HardCover),9.1,260,"['뉴턴', '다변수', '푸리에', '스마트폰', '미분 방정식', '픽사']"
"인간무리, 왜 무리지어 사는가(양장본 HardCover)",9.8,26,"['곤충', '문화', '친족 관계', '진화', '사회 건설', '생물학']"
수학이 필요한 순간(양장본 HardCover),8.7,6718,"['내면', '옥스퍼드', '상대성이론', '페르마', '하이드', '갈릴레오']"
식물학자의 노트(양장본 HardCover),9.6,52,"['식물학', '다윈', '독도', '난초', '영국', '기공']"
우리 본성의 선한 천사(사이언스 클래식 24)(양장본 HardCover),9.8,95,"['유럽', '내면', '과학이야기', '폭력', '평화', '엘리아스']"
운명의 과학,9,107,"['자유의지', '자유 의지', '교양과학', '신념', '신경과학', '지각']"
아인슈타인의 냉장고,10,48,"['볼츠만', '맥스웰', '김상욱', '양자 물리학', '섀넌', '서강대']"
부분과 전체,9.9,24,"['슈뢰딩거', '플랑크', '양자 역학', '아인슈타인', '칸트 철학', '파울리']"
"수학 사전(법칙, 원리, 공식을 쉽게 정리한)",9.3,769,"['정적분', '삼각 함수', '수학개념', '부정적분', '미분법', '베이즈 정리']"
화려한 화학의 시대,0,0,"['대기근', '업적', '감자', '교양화학', '파르', '양면성']"
까면서 보는 해부학 만화(한빛비즈 교양툰 8),9.7,157,"['인체', '갈레노스', '교양과학', '히키코모리', '척추', '구조']"
시체를 보는 식물학자,10,24,"['애거서 크리스티', '미생물', '블랙베리', '덤불', '코난 도일', '아이비']"
처음 읽는  양자컴퓨터 이야기,0,1,"['실험', '비트', '개발', '계산 원리', '칼럼', '회로']"
숲의 역사,0,0,"['북아메리카', '태고', '기후 변화', '토지', '나무', '수종']"
아인슈타인처럼 양자역학하기(양장본 HardCover),0,8,"['슈뢰딩거', '현실주의', '대표 주자', '양자', '하이젠베르크', '에르빈']"
위험한 과학책(양장본 HardCover),9.6,356,"['웹툰', '과학이야기', '질문', '스타워즈', '체르노빌', '페덱스']"
총의 과학(지적생활자를 위한 교과서 시리즈),10,6,"['총기', '탄환', '총신', '기관총', '권총', '서브']"
오리진,9.2,491,"['역사', '과학', '인류 진화', '유라시아', '인류', '대탈출']"
생명과학(캠벨)(11판),9.7,43,"['식물', '척추 동물', '멘델', '분자', '화학', '신호']"
수학의 쓸모(양장본 HardCover),9.6,133,"['교양수학', '베이즈', '그레이스', '교양과학', '넷플릭스', '방정식']"
종의 기원(드디어 다윈 1)(양장본 HardCover),9.7,158,"['최재천 교수', '진화론', '진화 생물학', '자연 선택', '핑커', '과학 역사']"
지구의 깊은 역사,10,4,"['과학', '어셔', '연대', '행성', '지질학', '인류사']"
보이는 세상은 실재가 아니다(양장본 HardCover),9.6,163,"['우주', '데모크리토스', '아인슈타인', '현대물리학', '플랑크', '일반상대성이론']"
식물의 책,9.3,767,"['식물학', '크리스마스 트리', '반려식물', '세밀화', '개나리', '왕벚나무']"
지금 다시 계몽(사이언스 클래식 37)(양장본 HardCover),9,66,"['인류', '빌 게이츠', '도킨스', '데이터', '리처드', '증거']"
굿 이너프,9.2,18,"['다윈', '밀턴 프리드먼', '내일', '갈라파고스 제도', '과잉', '평범성']"
바다의 숲,0,2,"['생명', '로스', '링크', '해양', '프릴', '대자연']"
과학은 지금,9.9,33,"['인공지능', '뇌과학', '과학기술정책', '현대차', '크리스', '산업공학']"
숲은 고요하지 않다,9.8,26,"['식물', '대서양', '지구', '그리스어', '대화', '사느냐']"
